ID espece;Nom scientifique;Nom verna;Famille;Habitat;Milieu_recolte;Statut;Type feuille;Forme feuille;Texture feuille;Type ecorce;Forme croissance;Inflammabilite presume;Latex;Genre;Espèce
1;Mangifera indica;Manguier;Anacardiaceae;I;I;Introduite;Simple;Lancéollée;Douce;Fissurée;Arbre;Faible;oui;Mangifera;indica
29;Alstonia balansae;Arbre a sagaïes;Apocynaceae;FLM;;Endemique;Simple;Oblongue;Coriace;Lisse;Arbre;;oui;Alstonia;balansae
47;Alstonia vieillardii;;Apocynaceae;FN;N;Endemique;Simple;Oblongue;Coriace;Fissurée;Arbre;;oui;Alstonia;vieillardii
20;Cerbera manghas;Faux manguier vert ;Apocynaceae;FLG;G;Autochtone;Simple;Lancéollée;Douce;Lisse;Arbre;Très faible;oui;Cerbera;manghas
58;Cerberiopsis candelabra;Candélabre;Apocynaceae;F;;Endemique;;;;;;;oui;Cerberiopsis;candelabra
68;Rauvolfia semperflorens;;Apocynaceae;LM;;Endemique;;;;;;;oui;Rauvolfia;semperflorens
36;Tabernaemontana cerifera;Arbre à cire;Apocynaceae;FRM;F;Endemique;Simple;Lancéollée;Coriace;Fissurée;Arbre;Très faible;oui;Tabernaemontana;cerifera
64;Plerandra gabriellae;;Araliaceae;F;;Endemique;;;;;;;non;Plerandra;gabriellae
38;Agathis lanceolata;Kaori;Araucariaceae;F;;Endemique;Simple;Oblongue;Coriace;Lisse exfoliante en plaque;Arbre;Forte;non;Agathis;lanceolata
7;Araucaria columnaris;Pin colonaire;Araucariaceae;F;;Endemique;Ecailles;Ecaille;Coriace;Ecailleuse;Arbre;Forte;non;Araucaria;columnaris
63;Deplanchea speciosa;Poindéa;Bignoniaceae;FM;;Endemique;;;;;;;non;Deplanchea;speciosa
44;Cordia dichotoma;Arbre à colle;Boraginaceae;LGN;L;Autochtone;Simple;Ovale;Douce;Lisse;Arbre;Très faible;non;Cordia;dichotoma
39;Calophyllum caledonicum;Tamanu de Forêt;Calophyllaceae;F;F;Endemique;Simple;Elliptique étroite;Coriace;Fissurée;Arbre;;non;Calophyllum;caledonicum
13;Calophyllum inophyllum;Tamanou bord de mer;Calophyllaceae;G;G;Autochtone;Simple;Elliptique;Coriace;Fissurée;Arbre;Faible;non;Calophyllum;inophyllum
52;Trema cannabina;;Cannabaceae;N;N;Autochtone;Simple;Oblongue;Douce;Lisse;Arbre;;non;Trema;cannabina
8;Casuarina collina;Bois de fer, Filao;Casuarinaceae;LMR;;Endemique;Tiges photosynthétiques;Aiguille;Coriace;Fissurée;Arbre;Très forte;non;Casuarina;collina
