ID_echantillon;T_ambiante;Vent;Humidite;T_grill;DI;DI_test;MT;temps_total;BB;BB_test;remarque;longeur;largeur;hauteur;masse
01_1;30,2;5,7;75,1;185;1,5;1,5;625,5;138;60;60;;70;;;
01_2;30,2;5,7;75,1;165;1,5;1,5;812;154;65;65;;70;;;
01_3;30,2;5,7;75,1;154;1;1;801,2;141;70;70;;70;;;
01_4;30,2;5,7;75,1;156,2;1;1;705;141;75;75;;70;;;
01_5;30,2;5,7;75,1;167,7;1;1;812;133;30;30;;70;;;
01_6;30,2;5,7;75,1;168,3;1;1;798;137;45;45;;70;;;
02_1;31,7;2,5;66;153;1;1;713;134;15;15;;70;;;
02_2;31,7;2,5;66;166;1,5;1,5;513;143;25;25;;70;;;
02_3;31,7;2,5;66;163;1;1;606;136;30;30;;70;;;
02_4;31,7;2,5;66;176;1;1;632;149;25;25;;70;;;
02_5;31,7;2,5;66;170;2;2;468;134;5;5;Espace au niveau du chalumeau;70;;;
02_6;31,7;2,5;66;161;1;1;688;139;45;45;;70;;;
03_1;31,8;4,2;54,9;149,4;1;1;848;225;85;85;;70;64;25;300
03_2;31,8;4,2;54,9;154,1;1;1;880,5;202;95;95;;70;40;19;125
03_3;31,8;4,2;54,9;169;1;1;844,5;265;85;85;;70;83;38;175
03_4;31,8;4,2;54,9;166,5;1;1;751,3;189;40;40;;70;50;30;100
03_5;31,8;4,2;54,9;169;1;1;820,8;233;90;90;;70;86;27;350
03_6;31,8;4,2;54,9;171,2;1;1;776,2;199;85;85;;70;66;38;250
04_1;31,8;4,2;54,9;170,3;2;2;644,8;155;15;15;;70;70;30;150
04_2;31,8;4,2;54,9;152,6;1;1;642,2;206;45;45;;70;61;37;175
04_3;31,8;4,2;54,9;179,2;1,5;1,5;845,6;219;95;95;;70;65;43;350
04_4;31,8;4,2;54,9;185,1;3;3;746,7;176;30;30;;70;48;43;250
04_5;31,8;4,2;54,9;161,5;1;1;788;198;95;95;;70;45;40;200
04_6;31,8;4,2;54,9;164,8;1,5;1,5;835,4;187;55;55;;70;40;40;225
05_1;31,8;4,2;54,9;156,6;1;1;656,9;180;95;95;;70;47;16;200
05_2;31,8;4,2;54,9;168,9;1;1;732,6;155;45;45;;70;40;15;150
05_3;31,8;4,2;54,9;186,8;1;1;873,2;193;90;90;;70;62;22;250
05_4;31,8;4,2;54,9;180,6;1;1;798,6;200;35;35;;70;40;30;150
05_5;31,8;4,2;54,9;157,4;1;1;842;176;80;80;;70;48;21;200
05_6;31,8;4,2;54,9;172,9;5;5;807;211;30;30;;70;75;57;375
06_1;31,8;4,2;54,9;166,4;2;2;778,4;273;95;95;;70;38;10;175
06_2;31,8;4,2;54,9;165;2;2;731,9;184;30;30;;70;62;24;325
06_3;31,8;4,2;54,9;180;1,5;1,5;773,5;174;50;50;;70;38;10;125
06_4;31,8;4,2;54,9;156;1,5;1,5;845,8;172;85;85;;70;44;13;150
06_5;31,8;4,2;54,9;183,7;1,5;1,5;814,2;209;70;70;;70;37;9;175
06_6;31,8;4,2;54,9;163,4;1,5;1,5;794,2;169;85;85;;70;48;11;150
07_1;31,1;4,6;73,5;158,5;1,5;1,5;382,7;151;5;5;;70;33;18;650
07_2;31,1;4,6;73,5;196,6;1,5;1,5;864;292;70;70;;70;33;10;475
07_3;31,1;4,6;73,5;184;2;2;180;139;5;5;;70;52;17;675
07_4;31,1;4,6;73,5;170;10;3;150;130;0;0;;70;53;14;675
07_5;31,1;4,6;73,5;170;1,5;1,5;586,5;330;50;50;;70;39;20;350
07_6;31,1;4,6;73,5;168;1,5;1,5;528;270;15;15;;70;43;15;675
08_1;31,1;4,6;73,5;196,5;0,5;0,5;771,9;167;95;95;;70;72;29;175
08_2;31,1;4,6;73,5;183;0,5;0,5;739;148;95;95;;70;45;7;100
08_3;31,1;4,6;73,5;158;0,5;0,5;752,3;209;95;95;;70;63;11;175
08_4;28,1;3;70,3;150,4;0,5;0,5;432,2;144;90;90;;70;41;14;25
08_5;28,1;3;70,3;153,5;0,5;0,5;759;146;95;95;;70;57;12;150
08_6;28,1;3;70,3;177,1;0,5;0,5;761,3;137;95;95;;70;43;15;50
09_1;27,6;3;78,2;150;1;1;798;171;60;60;;70;75;28;250
09_2;29,9;6;72,5;179;1;1;788;153;60;60;;70;52;27;275
09_3;29,9;3;72,5;154;1;1;830;143;35;35;;70;59;26;375
09_4;27,5;3;77,7;189;1;1;859;174;70;70;;70;56;17;300
09_5;27,5;3;83;196;2,5;2,5;620;141;10;10;;70;40;19;200
09_6;27,5;3;80;176;1;1;609;144;20;20;;70;52;32;300
10_1;27,6;3;78,2;164;1;1;826;164;80;80;;70;47;22;275
10_2;29,9;3;72,5;182;1;1;818;156;80;80;;70;63;28;250
10_3;29,9;3;72,5;162;1;1;766;161;60;60;;70;68;20;175
10_4;27,5;1,5;77,7;169;1;1;840;179;45;45;;70;51;29;250
10_5;27,5;1,5;83;180;0,5;0,5;803;159;40;40;;70;50;17;150
10_6;27,5;1,5;80;160;1;1;726;165;60;60;;70;59;27;250
11_1;27,6;5,5;78,2;187;1,5;1,5;809;230;40;40;;70;81;36;750
11_2;29,9;3;72,5;166;2;2;500;139;5;5;;70;73;33;375
11_3;29,9;3;72,5;189;2;2;845;253;75;75;;70;80;29;550
11_4;27,5;1,5;77,7;185;3;3;630;145;5;5;;70;85;50;825
11_5;27,5;1,5;83;169;1,5;1,5;824;164;30;30;;70;77;13;300
11_6;27,5;1,5;80;180;3;3;479;142;5;5;;70;65;25;525
12_1;27,6;6;78,2;185;1;1;818;208;95;95;;70;80;33;275
12_2;29,9;3;72,5;166;1;1;806;177;85;85;;70;44;29;250
12_3;29,9;3;72,5;192;1;1;785;164;95;95;;70;49;19;175
12_4;27,5;1,5;77,7;160;1;1;705;217;65;65;;70;64;41;250
12_5;27,5;1,5;83;177;1;1;717;174;85;85;;70;59;35;225
12_6;27,5;1,5;80;162;1;1;824;175;92;92;;70;51;30;175
13_1;28,5;3,2;68,1;159,2;1;1;707,1;145;75;75;;70;46;7;225
13_2;28,5;3,2;68,1;160,8;1;1;675,8;178;85;85;;70;41;14;200
13_3;28,5;3,2;68,1;176,3;0,5;0,5;475;145;80;80;;70;39;6;125
13_4;28,5;3,2;68,1;170,5;1;1;642,3;160;75;75;;70;32;6;150
13_5;28,5;3,2;68,1;175,6;1;1;612,7;145;75;75;;70;38;14;150
13_6;28,5;3,2;68,1;168,4;9;9;400;133;2;2;espace au dessus chalumeau;70;40;32;275
14_1;28,5;3,2;68,1;160,6;1;1;632;141;75;75;;70;50;16;75
14_2;28,5;3,2;68,1;188;0,5;0,5;705;150;40;40;;70;53;13;125
14_3;28,5;3,2;68,1;158,7;1;1;590,3;141;45;45;;70;55;18;50
14_4;28,5;3,2;68,1;180,1;1;1;449;135;10;10;;70;60;19;200
14_5;28,5;3,2;68,1;166,1;1;1;671,2;174;30;30;;70;60;26;150
14_6;28,5;3,2;68,1;154,8;1,5;1,5;574,1;155;10;10;;70;72;19;125
15_1;28,5;3,2;68,1;154,9;0,5;0,5;678,4;154;85;85;;70;80;22;125
15_2;28,5;3,2;68,1;165,1;1;1;823,6;141;70;70;;70;76;21;175
15_3;28,5;3,2;68,1;152,5;1;1;687;158;30;30;;70;88;13;75
15_4;28,5;3,2;68,1;168,9;0,5;0,5;716;146;85;85;;70;73;13;150
15_5;28,5;3,2;68,1;158,4;0,5;0,5;660,3;137;65;65;;70;73;11;125
15_6;28,5;3,2;68,1;150,6;0,5;0,5;785,6;142;45;45;;70;83;15;200
16_1;28,5;3,2;68,1;186;0,5;0,5;708,5;150;75;75;;70;60;17;125
16_2;28,5;3,2;68,1;166;1;1;736,4;195;65;65;;70;78;18;250
