"";"Nom_scientifique";"Milieu_recolte";"ID_espece";"ID_echantillon";"ID_Feuille";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_ramifications";"SD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT"
"1";"Mangifera indica";"N";1;"01_1";"01_1_1";30,2;5,7;75,1;8,5;1,5;8,5;16;16;625,5;60;60;1;11;NA;127,45;112,97;439,67;0,47;7,325;6,730876986;86,8217054263566;49,61;19,92;535,27;8,53;6612,4;80,95
"2";"Mangifera indica";"N";1;"01_1";"01_1_2";30,2;5,7;75,1;8,5;1,5;8,5;16;16;625,5;60;60;1;11;NA;127,45;112,97;439,67;0,47;7,325;6,730876986;194,010416666667;156,25;12,84;340,12;47,266;12308,85;27,63
"3";"Mangifera indica";"N";1;"01_1";"01_1_3";30,2;5,7;75,1;8,5;1,5;8,5;16;16;625,5;60;60;1;11;NA;127,45;112,97;439,67;0,47;7,325;6,730876986;213,725490196078;167,32;14,79;318,75;20,773;13577,12;23,48
"4";"Mangifera indica";"N";1;"01_1";"01_1_4";30,2;5,7;75,1;8,5;1,5;8,5;16;16;625,5;60;60;1;11;NA;127,45;112,97;439,67;0,47;7,325;6,730876986;99,06191369606;63,6;17,81;502,36;36,385;6826,45;73,59
"5";"Mangifera indica";"N";1;"01_1";"01_1_5";30,2;5,7;75,1;8,5;1,5;8,5;16;16;625,5;60;60;1;11;NA;127,45;112,97;439,67;0,47;7,325;6,730876986;206,55737704918;152,46;17,65;326,2;8,314;13629,51;23,93
"6";"Mangifera indica";"N";1;"01_2";"01_2_1";30,2;5,7;75,1;8,5;1,5;8,5;32;32;812;65;65;1;13;NA;132,07;110,28;430,91;0,36;6,75;5,872336659;185,436893203883;145,63;13,95;350,34;11,738;11396,12;30,74
"7";"Mangifera indica";"N";1;"01_2";"01_2_2";30,2;5,7;75,1;8,5;1,5;8,5;32;32;812;65;65;1;13;NA;132,07;110,28;430,91;0,36;6,75;5,872336659;168,669527896996;140,77;10,38;372,2;24,353;10451,93;35,61
"8";"Mangifera indica";"N";1;"01_2";"01_2_3";30,2;5,7;75,1;8,5;1,5;8,5;32;32;812;65;65;1;13;NA;132,07;110,28;430,91;0,36;6,75;5,872336659;153,271028037383;128,79;9,67;394,83;47,109;8805,42;44,84
"9";"Mangifera indica";"N";1;"01_2";"01_2_4";30,2;5,7;75,1;8,5;1,5;8,5;32;32;812;65;65;1;13;NA;132,07;110,28;430,91;0,36;6,75;5,872336659;168,488745980707;136,66;11,86;372,46;32,459;10436,98;35,69
"10";"Mangifera indica";"N";1;"01_2";"01_2_5";30,2;5,7;75,1;8,5;1,5;8,5;32;32;812;65;65;1;13;NA;132,07;110,28;430,91;0,36;6,75;5,872336659;163,636363636364;130,55;12,55;379,31;25,98;9447,27;40,15
"11";"Mangifera indica";"N";1;"01_3";"01_3_1";30,2;5,7;75,1;9;1;9;20;20;801,2;70;70;1;6;NA;257,09;188,29;280,04;0,41;6,015;9,564029917;136,820083682008;103,77;13,96;422,26;45,447;9507,74;44,41
"12";"Mangifera indica";"N";1;"01_3";"01_3_2";30,2;5,7;75,1;9;1;9;20;20;801,2;70;70;1;6;NA;257,09;188,29;280,04;0,41;6,015;9,564029917;191,514143094842;161,06;10,45;343,04;71,987;11977,87;28,64
"13";"Mangifera indica";"N";1;"01_3";"01_3_3";30,2;5,7;75,1;9;1;9;20;20;801,2;70;70;1;6;NA;257,09;188,29;280,04;0,41;6,015;9,564029917;174,487471526196;156,72;6,47;364,32;55,244;12584,05;28,95
"14";"Mangifera indica";"N";1;"01_3";"01_3_4";30,2;5,7;75,1;9;1;9;20;20;801,2;70;70;1;6;NA;257,09;188,29;280,04;0,41;6,015;9,564029917;181,981981981982;144,37;13,34;354,63;51,222;11536,49;30,74
"15";"Mangifera indica";"N";1;"01_3";"01_3_5";30,2;5,7;75,1;9;1;9;20;20;801,2;70;70;1;6;NA;257,09;188,29;280,04;0,41;6,015;9,564029917;190,967741935484;151,18;13,67;343,68;56,281;12103,44;28,4
"16";"Mangifera indica";"N";1;"01_4";"01_4_1";30,2;5,7;75,1;9;1;9;20;20;705;75;75;1;6;NA;147,02;121,77;404,82;0,37;6,255;5,912571598;161,764705882353;135,29;10,11;382,02;20,173;11866,47;32,19
"17";"Mangifera indica";"N";1;"01_4";"01_4_2";30,2;5,7;75,1;9;1;9;20;20;705;75;75;1;6;NA;147,02;121,77;404,82;0,37;6,255;5,912571598;159,855769230769;136,06;9,16;384,83;44,478;10691,83;35,99
"18";"Mangifera indica";"N";1;"01_4";"01_4_3";30,2;5,7;75,1;9;1;9;20;20;705;75;75;1;6;NA;147,02;121,77;404,82;0,37;6,255;5,912571598;170,273794002608;143,42;9,94;370;86,573;11287,22;32,78
"19";"Mangifera indica";"N";1;"01_4";"01_4_4";30,2;5,7;75,1;9;1;9;20;20;705;75;75;1;6;NA;147,02;121,77;404,82;0,37;6,255;5,912571598;174,367088607595;148,89;9,28;364,48;76,02;12028,48;30,3
"20";"Mangifera indica";"N";1;"01_4";"01_4_5";30,2;5,7;75,1;9;1;9;20;20;705;75;75;1;6;NA;147,02;121,77;404,82;0,37;6,255;5,912571598;187,371134020619;152,06;12,29;347,98;50,557;13030,15;26,71
"21";"Mangifera indica";"N";1;"01_5";"01_5_1";30,2;5,7;75,1;9;1;9;12;12;812;30;30;1;4;NA;156,99;141,6;389,11;0,35;8,03;8,349685944;131,941923774955;78,13;23,2;431,14;110,847;10058,71;42,86
"22";"Mangifera indica";"N";1;"01_5";"01_5_2";30,2;5,7;75,1;9;1;9;12;12;812;30;30;1;4;NA;156,99;141,6;389,11;0,35;8,03;8,349685944;129,537366548043;83,72;19,96;435,66;111,227;9895,64;44,03
"23";"Mangifera indica";"N";1;"01_5";"01_5_3";30,2;5,7;75,1;9;1;9;12;12;812;30;30;1;4;NA;156,99;141,6;389,11;0,35;8,03;8,349685944;151,578947368421;114,74;14,64;397,49;34,78;12203,51;32,57
"24";"Mangifera indica";"N";1;"01_5";"01_5_4";30,2;5,7;75,1;9;1;9;12;12;812;30;30;1;4;NA;156,99;141,6;389,11;0,35;8,03;8,349685944;147,257383966245;116,24;12,54;404,44;54,827;11566,88;34,97
"25";"Mangifera indica";"N";1;"01_5";"01_5_5";30,2;5,7;75,1;9;1;9;12;12;812;30;30;1;4;NA;156,99;141,6;389,11;0,35;8,03;8,349685944;134,550561797753;111,8;9,7;426,35;74,295;10434,69;40,86
"26";"Mangifera indica";"N";1;"01_6";"01_6_1";30,2;5,7;75,1;9;1;9;16;16;798;45;45;1;2;NA;109,63;94,79;477,04;0,45;7,755;11,17756319;98,6136783733826;67,1;15,87;503,49;84,212;7782,99;64,69
"27";"Mangifera indica";"N";1;"01_6";"01_6_2";30,2;5,7;75,1;9;1;9;16;16;798;45;45;1;2;NA;109,63;94,79;477,04;0,45;7,755;11,17756319;100;77,13;11,43;500;76,164;7474,39;66,9
