"";"ID_espece";"Nom_scientifique.x";"Milieu_recolte.x";"T_ambiante.x";"Vent.x";"Humidite.x";"DI.x";"DI_test.x";"score_DI.x";"BT.x";"BT_test.x";"MT.x";"BB.x";"BB_test.x";"FI.x";"Nb_ramifications.x";"SD.x";"TMC_t0.x";"TMC_t24.x";"TDMC.x";"TD.x";"TDIA.x";"Gmin.x";"LMC_t0.x";"LMC_t24.x";"PEF.x";"LDMC.x";"Surface_F.x";"SLA.x";"LT.x";"Nb_FI";"X";"Nom_scientifique.y";"Milieu_recolte.y";"T_ambiante.y";"Vent.y";"Humidite.y";"DI.y";"DI_test.y";"score_DI.y";"BT.y";"BT_test.y";"MT.y";"BB.y";"BB_test.y";"FI.y";"Nb_ramifications.y";"SD.y";"TMC_t0.y";"TMC_t24.y";"TDMC.y";"TD.y";"TDIA.y";"Gmin.y";"LMC_t0.y";"LMC_t24.y";"PEF.y";"LDMC.y";"Surface_F.y";"SLA.y";"LT.y";"coefBB";"coefMT";"coefBT";"coefDI";"coefSLA";"coefLA";"coefLDMC";"coefLMC_t24";"coefTD";"coefLT"
"1";1;"Mangifera indica";"N";30,2;5,7;75,1;8,83;1,17;8,83;19,33;19,33;758,95;57,5;57,5;1;7;NA;155,04;128,28;403,6;0,4;7,02;7,93;152,52;119,4;13,29;404,54;56,68;10427,62;41,74;6;41;"Mangifera indica";"N";0;0;0;0,26;0,26;0,26;6,89;6,89;77,02;16,96;16,96;0;4,2;NA;52,6;33,17;67,7;0,05;0,81;2,15;27,71;27,51;2,6;48,89;28,44;1465,36;12,18;29,495652173913;10,1482311087687;35,644076564925;22,2222222222222;14,0526793266345;50,1764290755116;12,0853314876156;23,0402010050251;12,5;29,1806420699569
"2";2;"Terminalia catappa";"N";31,7;2,5;66;8,9;1,1;8,9;19,2;19,2;630,4;28;28;1;2,2;NA;168,34;141,9;420,41;0,47;8,76;24,43;230,98;163,29;20,69;304,74;264,97;12764,71;24,57;5;52;"Terminalia catappa";"N";0;0;0;0,22;0,22;0,22;5,97;5,97;78,3;10,95;10,95;0;1,64;NA;128,61;99,91;125,34;0,11;2,27;12,54;21,84;30;5,77;21,02;63,81;1659,97;4,85;39,1071428571429;12,4206852791878;31,09375;20;13,0043690769316;24,0819715439484;6,8976832709851;18,3722212015433;23,4042553191489;19,7395197395197
"3";3;"Alphitonia neocaledonica";"M";31,8;4,2;54,9;9;1;9;97,83;97,83;820,22;80;80;1;10,17;3,3;77,32;64,36;564,8;0,74;14,31;18,47;95,01;49,67;23,52;515,18;21,55;4805,84;117,84;6;6;"Alphitonia neocaledonica";"M";0;0;0;0;0;0;28,06;28,06;48,34;20;20;0;5,04;1,49;7,54;5,02;24,26;0,16;2,94;9,03;10,05;13,78;3,9;26,11;5,4;1490,31;38,34;25;5,89354075735778;28,6824082592252;0;31,0103956852496;25,0580046403712;5,06813152684499;27,7431044896316;21,6216216216216;32,5356415478615
"4";4;"Grevillea rubiginosa";"M";31,8;4,2;54,9;8,33;1,67;8,33;68,67;68,67;750,45;55,83;55,83;1;11,83;2,94;75,33;63,42;571,11;0,75;13,48;76,2;100,88;17,66;41,24;500,52;15,56;4484,81;113,39;6;31;"Grevillea rubiginosa";"M";0;0;0;0,75;0,75;0,75;23,33;23,33;90,08;33,23;33,23;0;5,78;0,75;7,03;4,7;22,6;0,11;1,99;11,56;14,44;5,46;3,62;34,35;4,05;429,05;15,15;59,5199713415726;12,0034645879139;33,9740789282074;44,9101796407186;9,56673749835556;26,0282776349614;6,86286262287221;30,9173272933182;14,6666666666667;13,3609665755358
"5";5;"Codia spatulata";"M";31,8;4,2;54,9;8,33;1,67;8,33;64,17;64,17;785,05;62,5;62,5;1;9,83;5,05;81,09;67,98;553,61;0,74;13,78;21,82;111,44;70,75;19,29;473,65;18,25;4727,77;101,36;6;17;"Codia spatulata";"M";0;0;0;1,63;1,63;1,63;18,86;18,86;78,55;29,11;29,11;0;1,6;1,89;10,03;9,77;29,91;0,1;1,9;11,81;5,4;12,85;7,31;12,07;4,03;213,54;4,96;46,576;10,0057321189733;29,3906810035842;97,6047904191617;4,51671718378855;22,0821917808219;2,54829515465006;18,1625441696113;13,5135135135135;4,89344909234412
"6";6;"Geissois pruinosa";"M";31,8;4,2;54,9;8,33;1,67;8,33;75,17;75,17;789,67;69,17;69,17;1;3,33;9,46;94,71;82,19;513,81;0,76;14,33;22,92;158,28;102,34;22,05;391,94;35,44;5882,94;69,65;6;28;"Geissois pruinosa";"M";0;0;0;0,26;0,26;0,26;39,99;39,99;38,73;24,78;24,78;0;2,8;3,29;4,36;4,76;11,58;0,11;1,91;8,95;27,72;33,1;6,09;41,24;7,82;1045,18;17,06;35,8247795286974;4,90458039434194;53,1994146601038;15,5688622754491;17,7662869245649;22,0654627539503;10,522018676328;32,34316982607;14,4736842105263;24,4938980617373
"7";7;"Araucaria columnaris";"G";31,1;4,6;73,5;7;1,83;8,17;95,5;96,67;448,53;24,17;24,17;0,83;1;25,93;80,37;68,56;556,9;0,84;16,44;3,24;114,7;105,68;4,14;469,26;43,13;4464,61;133,65;5;9;"Araucaria columnaris";"G";0;0;0;3,44;0,61;0,61;90,04;88,59;269,64;28,88;28,88;0,41;1,55;9,11;13,28;8,67;40,42;0,07;1,88;1,34;12,12;9,08;1,57;27,46;18,96;2162,01;35,38;119,486967314853;60,1163801752391;91,6416675287059;33,3333333333333;48,4255063712172;43,9601205657315;5,85176661126028;8,59197577592733;8,33333333333333;26,4721286943509
"8";8;"Casuarina collina";"R";29,6;3,8;71,9;9,5;0,5;9,5;38;38;702,62;94,17;94,17;1;23,33;4,52;70,81;51,11;586,74;0,5;8,97;11,55;110,58;29,53;38,31;478,88;4,52;12421,98;44,89;6;15;"Casuarina collina";"R";1,64;0,88;1,75;0;0;0;26,41;26,41;132,92;2,04;2,04;0;6,65;3,06;8,85;5,65;29,68;0,16;2,7;4,82;9,5;15,47;5,97;21,28;2,02;4082,07;13,41;2,16629499840714;18,9177649369503;69,5;0;32,8616693957002;44,6902654867257;4,44370197126629;52,3874026413816;32;29,8730229449766
"9";9;"Arillastrum gummiferum ";"M";28,32;3,5;77,32;8,75;1,25;8,75;33;33;750,67;42,5;42,5;1;8,33;5,99;78,22;66,56;561,32;0,91;12,55;8,55;126,36;88,6;16,84;445,86;57,61;5769,98;82,71;6;11;"Arillastrum gummiferum ";"M";1,23;1,22;4,17;0,61;0,61;0,61;15,07;15,07;108,45;24,44;24,44;0;1,97;1,88;3,78;4,04;12,09;0,19;2,09;3,58;22,45;23,58;3,03;46,04;7;1119,72;18,85;57,5058823529412;14,447093929423;45,6666666666667;48,8;19,4059598126857;12,1506682867558;10,3261113353968;26,6139954853273;20,8791208791209;22,7904727360658
"10";10;"Hibbertia lucens";"M";28,32;2,25;77,32;9,08;0,92;9,08;43;43;796,5;60,83;60,83;1;9,5;4,72;96,72;77,7;508,9;1,02;11,97;54,32;200,94;75,89;42,28;337,08;8,8;7140,32;48,77;6;34;"Hibbertia lucens";"M";1,23;0,82;4,17;0,2;0,2;0,2;8,05;8,05;42,82;16,86;16,86;0;1,87;1,33;7,23;6,55;17,99;0,2;2,47;15,22;19,24;33,49;9,4;22,36;1,91;521,05;6,7;27,7165872102581;5,37602008788449;18,7209302325581;21,7391304347826;7,29729199811773;21,7045454545454;6,63344013290614;44,1296613519568;19,6078431372549;13,7379536600369
