"";"X";"Nom_scientifique";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_rami";"SD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT";"VPD";"Nb_FI";"SD_cr";"TD_cr";"LA_cr";"LDMC_cr";"LMC_t24_cr";"SLA_cr";"Nb_rami_cr";"Nb_essais";"groupe"
"1";1;"Acacia spirorbis";22;"L";29,1;1,5;68,8;9,33;0,67;9,33;54,67;54,67;656,47;58,33;58,33;1;13,33;3,07;74,53;59,64;574,04;0,59;11,12;11,88;226,52;163,24;19,35;313,55;7,76;10328,33;33,18;1,26;6;-0,584436790517343;-0,314314795534898;-0,695967284312806;-0,47874365024185;0,375766280048822;-0,0551173584986325;1,3002183233518;6;"1"
"2";2;"Acalypha sp";70;"";34,2;0;68,9;0;0,75;9,25;0,33;9,83;185;3,67;9,5;0,17;2,67;14,77;214,25;168,16;342,78;0,48;9,65;7,27;292,68;179,15;29,34;262,38;214,45;22392,93;13,7;1,67;1;1,65858255601232;-0,933297896716154;1,2486991711309;-0,994028674927546;0,54283718835559;2,25043896206656;-0,725256954586265;6;"2"
"3";3;"Acronychia laevis";41;"L";27,4;1,4;75;9,33;0,67;9,33;15,83;15,83;518,97;40;40;1;13,83;1,58;100,06;75,67;503,26;0,41;7,78;11,42;236,43;145,28;28;302,32;20,99;17628,53;18,24;0,91;6;-0,870086262853172;-1,3271962338315;-0,571491319314401;-0,591830435999528;0,187168321960227;1,33995767518587;1,39522185421193;6;"2"
"4";4;"Acropogon bullatus";19;"";29,1;1,5;68,8;4,42;3,75;6,25;25,33;27,17;464,12;15,83;17;0,67;1,67;10,76;150,36;132,84;401,5;0,99;18,41;6,56;177,5;150,3;9,8;363,54;174,54;8185,84;46,58;1,26;4;0,889821224423946;1,93653284512422;0,873201381026116;0,0246587023873853;0,23988334142597;-0,464549197204244;-0,915264016306534;6;"2"
"5";5;"Agathis lanceolata";38;"";26,6;1,5;65,3;7,42;2,58;7,42;87,17;87,17;730,98;50,83;50,83;1;11,83;4,28;97,78;88,62;505,98;0,83;15,48;15,2;121,86;108,65;6,12;458,23;18,85;4454,11;111,92;1,21;6;-0,35246641365402;1,03619378886057;-0,591625753562065;0,978192784613076;-0,197483304141401;-1,17768628323633;1,0152077307714;6;"3"
"6";6;"Aleurites moluccana";51;"";29,5;5;59,9;9,08;0,92;9,08;19,5;19,5;674,53;39,17;39,17;1;0,67;9,98;208,86;196,61;329,36;0,55;12,32;28,66;219,08;158,49;19,36;316,06;132,15;11455,95;28,28;1,65;6;0,740286601321969;-0,539399559600809;0,474370227867962;-0,453467796969208;0,325886530554344;0,16037187597211;-1,1052710780268;6;"2"
"7";7;"Alphitonia neocaledonica";3;"M";31,8;4,2;54,9;9;1;9;97,83;97,83;820,22;80;80;1;10,17;3,3;77,32;64,36;564,8;0,74;14,31;18,47;94,7;49,46;23,52;516,17;21,55;4800,7;118,46;2,12;6;-0,540343247807786;0,529753069712269;-0,566222495399125;1,56165212270745;-0,819037487842066;-1,11145261074452;0,699796008315749;6;"3"
"8";8;"Alstonia balansae";29;"";27,4;1,2;70,9;9,17;0,83;9,17;27,5;27,5;485,48;21,67;21,67;1;2,5;6,1;118,34;101,03;465,01;0,55;10,9;7,59;251,49;202,87;14;286,12;105,21;11181,4;26,6;1,06;6;-0,00355229308273928;-0,539399559600809;0,22090216308663;-0,75496542524925;0,791920905831173;0,107905114719257;-0,757558155078711;6;"2"
"9";9;"Alstonia vieillardii";47;"N";24,1;2,4;64,2;8,83;1,17;8,83;23,5;23,5;607,2;32,5;32,5;1;2;8,77;102,86;90;495,55;0,48;9,83;11,24;269,67;199,02;19,51;274,47;180,63;11360,97;25,47;1,08;6;0,508316224458645;-0,933297896716154;0,930499841104747;-0,872281636654142;0,751492056240912;0,14222110932197;-0,852561685938845;6;"2"
"10";10;"Araucaria columnaris";7;"";31,1;4,6;73,5;7;1,83;8,17;95,5;96,67;448,53;24,17;24,17;0,83;1;25,93;80,37;68,56;556,9;0,84;16,44;3,24;114,35;105,49;4,07;470,12;43,13;4458,47;134,14;1,2;5;3,79807793270215;1,09246497987705;-0,363184602378295;1,09792581067352;-0,230666463805096;-1,1768530831669;-1,04256874765911;6;"2"
"11";11;"Archidendropsis granulosa";28;"F";26,4;4;67,1;9,5;0,5;9,5;28;28;704,23;88,33;88,33;1;7,83;1,81;86,36;68,42;538,62;0,52;9,56;16,44;130,44;41,65;38,39;435,02;0,43;13711,39;32,52;1,13;6;-0,825992720143615;-0,708213132650243;-0,76493242591812;0,744466667299122;-0,901050297010882;0,591388565100266;0,255179483890321;6;"1"
"12";12;"Arillastrum gummiferum ";9;"M";28,32;3,5;77,32;8,75;1,25;8,75;33;33;750,67;42,5;42,5;1;8,33;5,99;78,22;66,56;561,32;0,91;12,55;8,55;126,03;88,31;16,82;446,43;57,71;5765,58;82,69;0,88;6;-0,0246405091612232;1,48636331699239;-0,226007008298421;0,859366064048463;-0,411073641976703;-0,927063142168114;0,350183014750455;6;"1"
"13";13;"Barringtonia asiatica";17;"G";26,3;1,5;81,7;4,17;4,17;5,83;9,83;11,5;331,75;4,67;5,83;0,67;2;4,92;215,83;193,71;321,18;0,84;16,72;3,27;324,03;304,57;4,59;237,63;378,08;9548,28;25,54;0,63;4;-0,229771338288295;1,09246497987705;2,7882307019464;-1,24326268628129;1,85987259500768;-0,204185641562876;-0,852561685938845;6;"4"
