"";"ID_echantillon";"ID_espece";"Date";"heure";"Lieu";"Longitude";"Latitude";"Remarques";"Nom.verna";"Nom_scientifique";"Famille";"Habitat";"Milieu_recolte";"Statut";"Type.feuille";"Forme.feuille";"Texture.feuille";"Type.ecorce";"Forme.croissance";"Inflammabilite.presume";"T_ambiante";"Vent";"Humidite";"T_grill";"DI";"DI_test";"MT";"temps_total";"BB";"BB_test";"remarque";"longeur";"largeur";"hauteur";"masse";"score_DI";"BT";"BT_test";"FI";"SD";"Masse_T_T0";"Masse_T_T24";"Masse_T_Tsec";"Longeur_T_cm";"diametre_T_1_mm";"diametre_T_2_mm";"Nb_ramifications";"Gmin";"TV";"TD";"TMC_t0";"TMC_t24";"TDMC";"TDIA";"ID_Feuille";"Masse_F_T0";"Masse_F_T24";"Masse_F_Tsec";"Surface_F";"LMC_t0";"LMC_t24";"PEF";"LDMC";"SLA";"LT"
"1";"01_1";1;"26-mars";"9h40";"IRD";166,442361;-22,30072;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;185;8,5;1,5;625,5;138;60;60;"";70;NA;NA;NA;8,5;16;16;1;NA;7,906;7,403;3,476;14,7;8,19;6,46;11;6,730876986;16,91;0,47;127,45;112,97;439,67;7,325;"01_1_1";0,241;0,193;0,129;8,53;86,8217054263566;49,61;19,92;535,27;6612,4;80,95
"2";"01_1";1;"26-mars";"9h40";"IRD";166,442361;-22,30072;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;185;8,5;1,5;625,5;138;60;60;"";70;NA;NA;NA;8,5;16;16;1;NA;7,906;7,403;3,476;14,7;8,19;6,46;11;6,730876986;16,91;0,47;127,45;112,97;439,67;7,325;"01_1_2";1,129;0,984;0,384;47,266;194,010416666667;156,25;12,84;340,12;12308,85;27,63
"3";"01_1";1;"26-mars";"9h40";"IRD";166,442361;-22,30072;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;185;8,5;1,5;625,5;138;60;60;"";70;NA;NA;NA;8,5;16;16;1;NA;7,906;7,403;3,476;14,7;8,19;6,46;11;6,730876986;16,91;0,47;127,45;112,97;439,67;7,325;"01_1_3";0,48;0,409;0,153;20,773;213,725490196078;167,32;14,79;318,75;13577,12;23,48
"4";"01_1";1;"26-mars";"9h40";"IRD";166,442361;-22,30072;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;185;8,5;1,5;625,5;138;60;60;"";70;NA;NA;NA;8,5;16;16;1;NA;7,906;7,403;3,476;14,7;8,19;6,46;11;6,730876986;16,91;0,47;127,45;112,97;439,67;7,325;"01_1_4";1,061;0,872;0,533;36,385;99,06191369606;63,6;17,81;502,36;6826,45;73,59
"5";"01_1";1;"26-mars";"9h40";"IRD";166,442361;-22,30072;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;185;8,5;1,5;625,5;138;60;60;"";70;NA;NA;NA;8,5;16;16;1;NA;7,906;7,403;3,476;14,7;8,19;6,46;11;6,730876986;16,91;0,47;127,45;112,97;439,67;7,325;"01_1_5";0,187;0,154;0,061;8,314;206,55737704918;152,46;17,65;326,2;13629,51;23,93
"6";"01_2";1;"26-mars";"9h47";"IRD";166,442418;-22,300584;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;165;8,5;1,5;812;154;65;65;"";70;NA;NA;NA;8,5;32;32;1;NA;4,4;3,987;1,896;11,4;6,53;6,97;13;5,872336659;12,09;0,36;132,07;110,28;430,91;6,75;"01_2_1";0,294;0,253;0,103;11,738;185,436893203883;145,63;13,95;350,34;11396,12;30,74
"7";"01_2";1;"26-mars";"9h47";"IRD";166,442418;-22,300584;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;165;8,5;1,5;812;154;65;65;"";70;NA;NA;NA;8,5;32;32;1;NA;4,4;3,987;1,896;11,4;6,53;6,97;13;5,872336659;12,09;0,36;132,07;110,28;430,91;6,75;"01_2_2";0,626;0,561;0,233;24,353;168,669527896996;140,77;10,38;372,2;10451,93;35,61
"8";"01_2";1;"26-mars";"9h47";"IRD";166,442418;-22,300584;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;165;8,5;1,5;812;154;65;65;"";70;NA;NA;NA;8,5;32;32;1;NA;4,4;3,987;1,896;11,4;6,53;6,97;13;5,872336659;12,09;0,36;132,07;110,28;430,91;6,75;"01_2_3";1,355;1,224;0,535;47,109;153,271028037383;128,79;9,67;394,83;8805,42;44,84
"9";"01_2";1;"26-mars";"9h47";"IRD";166,442418;-22,300584;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;165;8,5;1,5;812;154;65;65;"";70;NA;NA;NA;8,5;32;32;1;NA;4,4;3,987;1,896;11,4;6,53;6,97;13;5,872336659;12,09;0,36;132,07;110,28;430,91;6,75;"01_2_4";0,835;0,736;0,311;32,459;168,488745980707;136,66;11,86;372,46;10436,98;35,69
"10";"01_2";1;"26-mars";"9h47";"IRD";166,442418;-22,300584;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;165;8,5;1,5;812;154;65;65;"";70;NA;NA;NA;8,5;32;32;1;NA;4,4;3,987;1,896;11,4;6,53;6,97;13;5,872336659;12,09;0,36;132,07;110,28;430,91;6,75;"01_2_5";0,725;0,634;0,275;25,98;163,636363636364;130,55;12,55;379,31;9447,27;40,15
"11";"01_3";1;"26-mars";"9h53";"IRD";166,442389;-22,300387;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;154;9;1;801,2;141;70;70;"";70;NA;NA;NA;9;20;20;1;NA;4,635;3,742;1,298;12,1;5,7;6,33;6;9,564029917;11,43;0,41;257,09;188,29;280,04;6,015;"01_3_1";1,132;0,974;0,478;45,447;136,820083682008;103,77;13,96;422,26;9507,74;44,41
