"";"Nom_scientifique";"DI.moy";"DI.sd";"DI.min";"DI.max";"MT.moy";"MT.sd";"MT.min";"MT.max";"BB.moy";"BB.sd";"BB.min";"BB.max";"BT.moy";"BT.sd";"BT.min";"BT.max";"V_Ech.moy";"V_Ech.sd";"V_Ech.min";"V_Ech.max";"Bulk.moy";"Bulk.sd";"Bulk.min";"Bulk.max";"TMC_t0.moy";"TMC_t0.sd";"TMC_t0.min";"TMC_t0.max";"TMC_t24.moy";"TMC_t24.sd";"TMC_t24.min";"TMC_t24.max";"PET.moy";"PET.sd";"PET.min";"PET.max";"TDMC.moy";"TDMC.sd";"TDMC.min";"TDMC.max";"Gmin.moy";"Gmin.sd";"Gmin.min";"Gmin.max";"LMC_t0.moy";"LMC_t0.sd";"LMC_t0.min";"LMC_t0.max";"LMC_t24.moy";"LMC_t24.sd";"LMC_t24.min";"LMC_t24.max";"PEF.moy";"PEF.sd";"PEF.min";"PEF.max";"LDMC.moy";"LDMC.sd";"LDMC.min";"LDMC.max";"Surface_F.moy";"Surface_F.sd";"Surface_F.min";"Surface_F.max";"SLA.moy";"SLA.sd";"SLA.min";"SLA.max";"LT.moy";"LT.sd";"LT.min";"LT.max"
"1";"Alphitonia_neocaledonica"; 1.33; 0.38; 1.00; 2.00;820.22; 44.88;751.30;880.50;78.33;20.27;35.00;95.00; 97.50; 26.13; 68.00;144.00;0.07;0.03;0.03;0.12; 3.29; 1.37; 1.51; 5.08; 77.32;  7.00; 66.48; 86.10; 64.36;  4.66; 58.89; 69.39; 7.26; 1.38; 4.56; 8.98;564.80; 22.52;537.33;600.66;18.47; 8.60; 7.21;34.61; 95.01; 13.52; 71.81;125.30; 49.67; 20.26; 12.75; 85.57;23.53; 6.21;16.01;36.67;515.18; 35.80;443.86;582.02; 21.55;  8.56; 10.48; 49.99; 4805.84; 1463.07; 3095.35; 8487.78;0.12;0.04;0.05;0.19
"2";"Araucaria_columnaris"; 3.08; 3.15; 1.50;10.00;448.53;250.35;150.00;864.00;23.33;27.49; 0.00;70.00;103.67; 98.12;  0.00;252.00;0.02;0.01;0.01;0.03;25.90; 8.52;12.07;39.58; 80.37; 12.33; 66.45; 99.22; 68.56;  8.05; 56.57; 80.06; 6.41; 2.50; 2.59; 9.62;556.90; 37.53;501.95;600.78; 3.24; 1.24; 1.81; 5.20;114.70; 17.10; 46.33;142.70;105.68; 15.02; 42.93;127.08; 4.14; 1.71; 1.54; 7.42;469.26; 46.44;412.04;683.39; 43.13; 50.97; 19.86;309.22; 4464.61; 4777.68; 2057.87;29449.29;0.13;0.05;0.02;0.33
"3";"Arillastrum_gummiferum "; 1.17; 0.63; 0.50; 2.50;750.67;100.69;609.00;859.00;42.50;22.70;10.00;70.00; 33.00; 14.00; 18.00; 53.00;0.05;0.02;0.03;0.08; 6.00; 1.74; 3.25; 8.57;NA;NA;NA;NA;NA;NA;NA;NA; 6.53; 1.70; 4.53; 9.66;NA;NA;NA;NA; 6.69; 3.11; 3.16;11.71;NA;NA;NA;NA;NA;NA;NA;NA;16.84; 4.00; 9.02;25.32;NA;NA;NA;NA; 57.61; 14.50; 27.08; 88.48;NA;NA;NA;NA;NA;NA;NA;NA
"4";"Casuarina_collina"; 0.07; 0.05; 0.00; 0.10;754.40; 13.99;739.00;771.90;95.00; 0.00;95.00;95.00; 40.00; 44.67;-16.00; 89.00;0.04;0.03;0.01;0.08; 5.87; 2.69; 2.27; 8.33; 67.01;  5.33; 60.13; 72.52; 51.99;  6.91; 47.25; 61.43; 9.00; 2.69; 6.43;12.55;599.34; 19.38;579.65;624.51; 7.64; 1.26; 6.03; 8.98;104.18; 13.21; 86.67;137.04; 20.55; 10.53; 10.61; 44.44;40.91; 4.30;31.82;46.15;491.60; 30.32;421.88;535.71;  6.00;  3.63;  3.15; 18.60;10318.82; 6406.50; 7138.20;33211.12;0.05;0.01;0.02;0.07
"5";"Codia_spatulata"; 1.67; 1.52; 1.00; 5.00;785.05; 72.93;656.90;873.20;61.67;26.04;30.00;90.00; 64.17; 17.51; 34.00; 86.00;0.06;0.05;0.02;0.16; 5.03; 1.73; 2.39; 7.14; 81.09;  9.31; 71.54; 95.48; 67.98;  9.07; 59.47; 81.72; 7.24; 0.82; 6.59; 9.02;553.61; 27.77;511.55;582.96;21.82;10.97;11.60;44.08;111.44;  8.19; 90.28;124.48; 70.75; 22.92; 14.75; 94.59;19.30;10.14; 9.07;45.16;473.65; 19.01;445.47;525.55; 18.25;  5.77; 11.70; 34.61; 4727.77;  460.25; 3840.08; 5623.72;0.10;0.01;0.08;0.14
"6";"Geissois_pruinosa"; 1.75; 0.39; 1.50; 2.50;789.67; 35.96;731.90;845.80;69.17;23.01;30.00;95.00; 75.00; 36.78; 48.00;150.00;0.02;0.02;0.01;0.06; 9.49; 3.11; 5.91;14.58; 94.71;  4.05; 88.36; 99.58; 82.19;  4.42; 76.08; 88.98; 6.43; 1.19; 4.86; 7.85;513.81; 10.75;501.04;530.89;22.92; 8.31;15.84;36.80;158.28; 29.26;119.85;232.10;102.34; 35.14; 45.04;151.76;22.05; 6.96;11.33;38.80;391.94; 43.77;301.12;454.85; 35.44;  8.77; 22.19; 55.06; 5882.93; 1070.16; 4314.61; 7821.40;0.07;0.02;0.04;0.10
"7";"Grevillea_rubiginosa"; 2.30; 1.73; 1.00; 5.50;750.45; 83.64;642.20;845.60;56.67;29.75;20.00;95.00; 68.40; 24.53; 32.00; 98.00;0.08;0.01;0.06;0.10; 2.94; 0.69; 1.95; 3.81; 75.33;  6.53; 66.74; 86.74; 63.42;  4.36; 58.92; 72.28; 6.72; 2.50; 3.45;10.87;571.11; 20.98;535.49;599.74;76.20;10.74;64.64;92.75;100.88; 15.33; 80.45;130.88; 17.66;  7.61;  4.83; 37.16;41.24; 4.17;34.83;48.39;500.52; 36.92;433.12;554.17; 15.56;  5.57;  9.69; 31.72; 4484.81;  492.56; 3662.41; 5453.50;0.11;0.02;0.08;0.15
"8";"Hibbertia_lucens"; 1.00; 0.32; 0.50; 1.50;796.50; 39.76;726.00;840.00;59.17;16.19;40.00;80.00; 42.60;  8.21; 35.00; 58.00;0.05;0.01;0.03;0.06; 4.73; 1.23; 3.50; 7.24;NA;NA;NA;NA;NA;NA;NA;NA; 9.65; 1.90; 7.31;12.87;NA;NA;NA;NA;39.02;10.21;22.93;52.63;NA;NA;NA;NA;NA;NA;NA;NA;42.28;14.00;10.29;59.19;NA;NA;NA;NA;  8.81;  2.46;  4.96; 16.24;NA;NA;NA;NA;NA;NA;NA;NA
"9";"Mangifera_indica"; 1.42; 0.46; 1.00; 2.00;758.95; 71.51;625.50;812.00;56.67;16.52;30.00;75.00; 19.33;  6.32; 12.00; 32.00;NA;NA;NA;NA;NA;NA;NA;NA;155.04; 48.84;109.63;257.09;128.28; 30.80; 94.79;188.29; 9.72; 4.62; 5.99;19.27;403.60; 62.86;280.04;477.04; 7.76; 2.31; 4.15;11.18;152.52; 36.20; 86.82;213.73;119.40; 35.06; 49.61;167.32;13.28; 3.81; 6.47;23.20;404.54; 62.13;318.75;535.27; 56.68; 34.36;  8.31;136.50;10427.61; 2051.41; 6612.40;13629.51;0.04;0.02;0.02;0.08
"10";"Metrosideros_laurifolia"; 1.60; 0.38; 1.00; 2.00;681.17;155.31;479.00;845.00;26.67;26.04; 5.00;75.00; 64.60; 47.63; 17.00;132.00;0.09;0.04;0.04;0.16; 6.65; 1.57; 4.26; 8.75;NA;NA;NA;NA;NA;NA;NA;NA; 6.75; 1.00; 5.91; 8.82;NA;NA;NA;NA;14.88; 4.03; 7.74;20.62;NA;NA;NA;NA;NA;NA;NA;NA;13.34; 5.88; 5.41;28.25;NA;NA;NA;NA; 54.02; 25.13; 27.31;110.64;NA;NA;NA;NA;NA;NA;NA;NA
"11";"Terminalia_catappa"; 1.67; 0.48; 1.00; 2.00;603.33; 89.54;468.00;713.00;18.33;11.99; 5.00;40.00; 17.50;  5.41; 12.00; 27.00;NA;NA;NA;NA;NA;NA;NA;NA;174.01;107.58;101.33;397.36;149.18; 84.61; 89.90;320.13; 7.78; 3.95; 4.36;15.53;405.47;109.50;201.06;496.70;25.08;10.52; 7.37;38.91;226.98; 32.61;175.91;282.17;159.01; 39.52; 65.66;226.69;20.90; 8.14; 5.25;43.62;308.77; 30.69;261.67;362.44;250.55; 94.24;121.06;574.33;12527.87; 1790.39; 9782.76;15416.93;0.03;0.01;0.02;0.03
"12";"Tristaniopsis_glauca"; 0.90; 0.20; 0.50; 1.00;775.83; 48.37;705.00;824.00;86.17;10.51;65.00;95.00; 67.20; 21.29; 43.00; 96.00;0.07;0.02;0.03;0.10; 3.66; 1.14; 2.60; 5.32;NA;NA;NA;NA;NA;NA;NA;NA; 7.39; 2.40; 4.45;11.58;NA;NA;NA;NA;14.23; 1.62;11.45;16.61;NA;NA;NA;NA;NA;NA;NA;NA;21.87; 9.25;10.51;39.95;NA;NA;NA;NA; 15.84;  5.33;  7.20; 27.56;NA;NA;NA;NA;NA;NA;NA;NA
