"";"ID_echantillon";"T_ambiante";"Vent";"Humidite";"T_grill";"DI";"DI_test";"MT";"temps_total";"BB";"BB_test";"remarque";"longeur";"largeur";"hauteur";"masse";"score_DI";"BT";"BT_test";"SD"
"1";"01_1";30,2;5,7;75,1;185;8,5;1,5;625,5;138;60;60;"";70;NA;NA;NA;8,5;16;16;NA
"2";"01_2";30,2;5,7;75,1;165;8,5;1,5;812;154;65;65;"";70;NA;NA;NA;8,5;32;32;NA
"3";"01_3";30,2;5,7;75,1;154;9;1;801,2;141;70;70;"";70;NA;NA;NA;9;20;20;NA
"4";"01_4";30,2;5,7;75,1;156,2;9;1;705;141;75;75;"";70;NA;NA;NA;9;20;20;NA
"5";"01_5";30,2;5,7;75,1;167,7;9;1;812;133;30;30;"";70;NA;NA;NA;9;12;12;NA
"6";"01_6";30,2;5,7;75,1;168,3;9;1;798;137;45;45;"";70;NA;NA;NA;9;16;16;NA
"7";"02_1";31,7;2,5;66;153;9;1;713;134;15;15;"";70;NA;NA;NA;9;13;13;NA
"8";"02_2";31,7;2,5;66;166;8,5;1,5;513;143;25;25;"";70;NA;NA;NA;8,5;22;22;NA
"9";"02_3";31,7;2,5;66;163;9;1;606;136;30;30;"";70;NA;NA;NA;9;15;15;NA
"10";"02_4";31,7;2,5;66;176;9;1;632;149;25;25;"";70;NA;NA;NA;9;28;28;NA
"12";"02_6";31,7;2,5;66;161;9;1;688;139;45;45;"";70;NA;NA;NA;9;18;18;NA
"13";"03_1";31,8;4,2;54,9;149,4;9;1;848;225;85;85;"";70;64;25;300;9;104;104;5,12
"14";"03_2";31,8;4,2;54,9;154,1;9;1;880,5;202;95;95;"";70;40;19;125;9;81;81;4,49
"15";"03_3";31,8;4,2;54,9;169;9;1;844,5;265;85;85;"";70;83;38;175;9;144;144;1,51
"16";"03_4";31,8;4,2;54,9;166,5;9;1;751,3;189;40;40;"";70;50;30;100;9;68;68;1,82
"17";"03_5";31,8;4,2;54,9;169;9;1;820,8;233;90;90;"";70;86;27;350;9;112;112;4,11
"18";"03_6";31,8;4,2;54,9;171,2;9;1;776,2;199;85;85;"";70;66;38;250;9;78;78;2,72
"19";"04_1";31,8;4,2;54,9;170,3;8;2;644,8;155;15;15;"";70;70;30;150;8;33;33;1,95
"20";"04_2";31,8;4,2;54,9;152,6;9;1;642,2;206;45;45;"";70;61;37;175;9;85;85;2,12
"21";"04_3";31,8;4,2;54,9;179,2;8,5;1,5;845,6;219;95;95;"";70;65;43;350;8,5;98;98;3,42
"22";"04_4";31,8;4,2;54,9;185,1;7;3;746,7;176;30;30;"";70;48;43;250;7;53;53;3,3
"23";"04_5";31,8;4,2;54,9;161,5;9;1;788;198;95;95;"";70;45;40;200;9;77;77;3,03
"24";"04_6";31,8;4,2;54,9;164,8;8,5;1,5;835,4;187;55;55;"";70;40;40;225;8,5;66;66;3,84
"25";"05_1";31,8;4,2;54,9;156,6;9;1;656,9;180;95;95;"";70;47;16;200;9;59;59;7,26
"26";"05_2";31,8;4,2;54,9;168,9;9;1;732,6;155;45;45;"";70;40;15;150;9;34;34;6,82
"27";"05_3";31,8;4,2;54,9;186,8;9;1;873,2;193;90;90;"";70;62;22;250;9;72;72;5
"28";"05_4";31,8;4,2;54,9;180,6;9;1;798,6;200;35;35;"";70;40;30;150;9;79;79;3,41
"29";"05_5";31,8;4,2;54,9;157,4;9;1;842;176;80;80;"";70;48;21;200;9;55;55;5,41
"30";"05_6";31,8;4,2;54,9;172,9;5;5;807;211;30;30;"";70;75;57;375;5;86;86;2,39
"31";"06_1";31,8;4,2;54,9;166,4;8;2;778,4;273;95;95;"";70;38;10;175;8;151;151;12,56
"32";"06_2";31,8;4,2;54,9;165;8;2;731,9;184;30;30;"";70;62;24;325;8;62;62;5,96
"33";"06_3";31,8;4,2;54,9;180;8,5;1,5;773,5;174;50;50;"";70;38;10;125;8,5;52;52;8,97
"34";"06_4";31,8;4,2;54,9;156;8,5;1,5;845,8;172;85;85;"";70;44;13;150;8,5;50;50;7,15
"35";"06_5";31,8;4,2;54,9;183,7;8,5;1,5;814,2;209;70;70;"";70;37;9;175;8,5;88;88;14,34
"36";"06_6";31,8;4,2;54,9;163,4;8,5;1,5;794,2;169;85;85;"";70;48;11;150;8,5;48;48;7,75
"37";"07_1";31,1;4,6;73,5;158,5;8,5;1,5;382,7;151;5;5;"";70;33;18;650;8,5;30;30;29,86
"38";"07_2";31,1;4,6;73,5;196,6;8,5;1,5;864;292;70;70;"";70;33;10;475;8,5;170;170;39,27
"39";"07_3";31,1;4,6;73,5;184;8;2;180;139;5;5;"";70;52;17;675;8;17;17;20,83
"41";"07_5";31,1;4,6;73,5;170;8,5;1,5;586,5;330;50;50;"";70;39;20;350;8,5;208;208;12,24
"42";"07_6";31,1;4,6;73,5;168;8,5;1,5;528;270;15;15;"";70;43;15;675;8,5;148;148;28,55
"43";"08_1";31,1;4,6;73,5;196,5;9,5;0,5;771,9;167;95;95;"";70;72;29;175;9,5;46;46;2,29
"44";"08_2";31,1;4,6;73,5;183;9,5;0,5;739;148;95;95;"";70;45;7;100;9,5;28;28;8,66
"45";"08_3";31,1;4,6;73,5;158;9,5;0,5;752,3;209;95;95;"";70;63;11;175;9,5;88;88;6,89
"46";"08_4";28,1;3;70,3;150,4;9,5;0,5;432,2;144;90;90;"";70;41;14;25;9,5;24;24;1,19
"47";"08_5";28,1;3;70,3;153,5;9,5;0,5;759;146;95;95;"";70;57;12;150;9,5;26;26;5,98
"48";"08_6";28,1;3;70,3;177,1;9,5;0,5;761,3;137;95;95;"";70;43;15;50;9,5;16;16;2,12
"49";"09_1";27,6;3;78,2;150;9;1;798;171;60;60;"";70;75;28;250;9;50;50;3,25
"50";"09_2";29,9;6;72,5;179;9;1;788;153;60;60;"";70;52;27;275;9;32;32;5,34
"51";"09_3";29,9;3;72,5;154;9;1;830;143;35;35;"";70;59;26;375;9;22;22;6,67
"52";"09_4";27,5;3;77,7;189;9;1;859;174;70;70;"";70;56;17;300;9;53;53;8,6
"53";"09_5";27,5;3;83;196;7,5;2,5;620;141;10;10;"";70;40;19;200;7,5;18;18;7,18
"54";"09_6";27,5;3;80;176;9;1;609;144;20;20;"";70;52;32;300;9;23;23;4,92
"55";"10_1";27,6;3;78,2;164;9;1;826;164;80;80;"";70;47;22;275;9;43;43;7,26
"56";"10_2";29,9;3;72,5;182;9;1;818;156;80;80;"";70;63;28;250;9;35;35;3,87
"57";"10_3";29,9;3;72,5;162;9;1;766;161;60;60;"";70;68;20;175;9;40;40;3,51
"58";"10_4";27,5;1,5;77,7;169;9;1;840;179;45;45;"";70;51;29;250;9;58;58;4,61
"59";"10_5";27,5;1,5;83;180;9,5;0,5;803;159;40;40;"";70;50;17;150;9,5;38;38;4,81
"60";"10_6";27,5;1,5;80;160;9;1;726;165;60;60;"";70;59;27;250;9;44;44;4,28
"61";"11_1";27,6;5,5;78,2;187;8,5;1,5;809;230;40;40;"";70;81;36;750;8,5;108;108;7,02
"62";"11_2";29,9;3;72,5;166;8;2;500;139;5;5;"";70;73;33;375;8;17;17;4,25
"63";"11_3";29,9;3;72,5;189;8;2;845;253;75;75;"";70;80;29;550;8;131;131;6,47
"64";"11_4";27,5;1,5;77,7;185;7;3;630;145;5;5;"";70;85;50;825;7;22;22;5,3
"65";"11_5";27,5;1,5;83;169;8,5;1,5;824;164;30;30;"";70;77;13;300;8,5;42;42;8,18
"66";"11_6";27,5;1,5;80;180;7;3;479;142;5;5;"";70;65;25;525;7;19;19;8,81
"67";"12_1";27,6;6;78,2;185;9;1;818;208;95;95;"";70;80;33;275;9;87;87;2,84
"68";"12_2";29,9;3;72,5;166;9;1;806;177;85;85;"";70;44;29;250;9;56;56;5,35
"69";"12_3";29,9;3;72,5;192;9;1;785;164;95;95;"";70;49;19;175;9;43;43;5,13
"70";"12_4";27,5;1,5;77,7;160;9;1;705;217;65;65;"";70;64;41;250;9;96;96;2,6
"71";"12_5";27,5;1,5;83;177;9;1;717;174;85;85;"";70;59;35;225;9;53;53;2,97
"72";"12_6";27,5;1,5;80;162;9;1;824;175;92;92;"";70;51;30;175;9;54;54;3,12
"73";"13_1";28,5;3,2;68,1;159,2;9;1;707,1;145;75;75;"";70;46;7;225;9;24;24;19,06
"74";"13_2";28,5;3,2;68,1;160,8;9;1;675,8;178;85;85;"";70;41;14;200;9;57;57;9,51
"75";"13_3";28,5;3,2;68,1;176,3;9,5;0,5;475;145;80;80;"";70;39;6;125;9,5;24;24;14,57
"76";"13_4";28,5;3,2;68,1;170,5;9;1;642,3;160;75;75;"";70;32;6;150;9;39;39;21,32
"77";"13_5";28,5;3,2;68,1;175,6;9;1;612,7;145;75;75;"";70;38;14;150;9;24;24;7,69
"79";"14_1";28,5;3,2;68,1;160,6;9;1;632;141;75;75;"";70;50;16;75;9;20;20;2,56
"80";"14_2";28,5;3,2;68,1;188;9,5;0,5;705;150;40;40;"";70;53;13;125;9,5;30;30;4,95
"81";"14_3";28,5;3,2;68,1;158,7;9;1;590,3;141;45;45;"";70;55;18;50;9;20;20;1,38
"82";"14_4";28,5;3,2;68,1;180,1;9;1;449;135;10;10;"";70;60;19;200;9;14;14;4,79
"83";"14_5";28,5;3,2;68,1;166,1;9;1;671,2;174;30;30;"";70;60;26;150;9;53;53;2,62
"84";"14_6";28,5;3,2;68,1;154,8;8,5;1,5;574,1;155;10;10;"";70;72;19;125;8,5;34;34;2,49
"85";"15_1";28,5;3,2;68,1;154,9;9,5;0,5;678,4;154;85;85;"";70;80;22;125;9,5;34;34;1,94
"86";"15_2";28,5;3,2;68,1;165,1;9;1;823,6;141;70;70;"";70;76;21;175;9;20;20;2,99
"87";"15_3";28,5;3,2;68,1;152,5;9;1;687;158;30;30;"";70;88;13;75;9;37;37;1,79
"88";"15_4";28,5;3,2;68,1;168,9;9,5;0,5;716;146;85;85;"";70;73;13;150;9,5;26;26;4,31
