"";"ID_echantillon";"ID_Feuille";"Masse_F_T0";"Masse_F_T24";"Masse_F_Tsec";"Surface_F";"LMC_t0";"LMC_t24";"PEF";"LDMC";"SLA";"LT"
"1";"01_1";"01_1_1";0,241;0,193;0,129;8,53;86,82;49,61;19,92;535,27;6612,4;80,95
"2";"01_1";"01_1_2";1,129;0,984;0,384;47,266;194,01;156,25;12,84;340,12;12308,85;27,63
"3";"01_1";"01_1_3";0,48;0,409;0,153;20,773;213,73;167,32;14,79;318,75;13577,12;23,48
"4";"01_1";"01_1_4";1,061;0,872;0,533;36,385;99,06;63,6;17,81;502,36;6826,45;73,59
"5";"01_1";"01_1_5";0,187;0,154;0,061;8,314;206,56;152,46;17,65;326,2;13629,51;23,93
"6";"01_2";"01_2_1";0,294;0,253;0,103;11,738;185,44;145,63;13,95;350,34;11396,12;30,74
"7";"01_2";"01_2_2";0,626;0,561;0,233;24,353;168,67;140,77;10,38;372,2;10451,93;35,61
"8";"01_2";"01_2_3";1,358;1,224;0,535;47,109;153,83;128,79;9,87;393,96;8805,42;44,74
"9";"01_2";"01_2_4";0,835;0,736;0,311;32,459;168,49;136,66;11,86;372,46;10436,98;35,69
"10";"01_2";"01_2_5";0,725;0,634;0,275;25,98;163,64;130,55;12,55;379,31;9447,27;40,15
"11";"01_3";"01_3_1";1,132;0,974;0,478;45,447;136,82;103,77;13,96;422,26;9507,74;44,41
"12";"01_3";"01_3_2";1,752;1,569;0,601;71,987;191,51;161,06;10,45;343,04;11977,87;28,64
"13";"01_3";"01_3_3";1,205;1,127;0,439;58,244;174,49;156,72;6,47;364,32;13267,43;27,46
"14";"01_3";"01_3_4";1,252;1,085;0,444;51,222;181,98;144,37;13,34;354,63;11536,49;30,74
"15";"01_3";"01_3_5";1,353;1,168;0,465;56,281;190,97;151,18;13,67;343,68;12103,44;28,4
"16";"01_4";"01_4_1";0,445;0,4;0,17;20,173;161,76;135,29;10,11;382,02;11866,47;32,19
"17";"01_4";"01_4_2";1,081;0,982;0,416;44,478;159,86;136,06;9,16;384,83;10691,83;35,99
"18";"01_4";"01_4_3";2,073;1,867;0,767;86,573;170,27;143,42;9,94;370;11287,22;32,78
"19";"01_4";"01_4_4";1,734;1,573;0,632;76,02;174,37;148,89;9,28;364,48;12028,48;30,3
"20";"01_4";"01_4_5";1,115;0,978;0,388;50,587;187,37;152,06;12,29;347,98;13037,89;26,69
"21";"01_5";"01_5_1";2,586;1,963;1,102;110,847;134,66;78,13;24,09;426,14;10058,71;42,37
"22";"01_5";"01_5_2";2,58;2,065;1,124;111,227;129,54;83,72;19,96;435,66;9895,64;44,03
"23";"01_5";"01_5_3";0,717;0,612;0,285;34,78;151,58;114,74;14,64;397,49;12203,51;32,57
"24";"01_5";"01_5_4";1,172;1,025;0,474;54,827;147,26;116,24;12,54;404,44;11566,88;34,97
"25";"01_5";"01_5_5";1,67;1,508;0,712;74,295;134,55;111,8;9,7;426,35;10434,69;40,86
"26";"01_6";"01_6_1";2,149;1,808;1,082;84,212;98,61;67,1;15,87;503,49;7782,99;64,69
"27";"01_6";"01_6_2";2,038;1,805;1,019;76,164;100;77,13;11,43;500;7474,39;66,9
"28";"01_6";"01_6_3";3,472;2,844;1,658;136,496;109,41;71,53;18,09;477,53;8232,57;58
"29";"01_6";"01_6_4";3,566;3,121;1,743;131,843;104,59;79,06;12,48;488,78;7564,14;64,62
"30";"01_6";"01_6_5";1,72;1,539;0,864;64,879;99,07;78,12;10,52;502,33;7509,14;66,9
"31";"02_1";"02_1_1";14,226;10,932;3,915;574,329;263,37;179,23;23,15;275,2;14669,96;18,76
"32";"02_1";"02_1_2";11,732;8,719;3,719;459,303;215,46;134,44;25,68;317;12350,17;25,67
"33";"02_1";"02_1_3";4,97;3,21;1,463;218,818;239,71;119,41;35,41;294,37;14956,8;19,68
"34";"02_1";"02_1_4";6,801;4,995;2,111;297,862;222,17;136,62;26,55;310,4;14110;22
"35";"02_1";"02_1_5";7,487;5,672;2,465;326,908;203,73;130,1;24,24;329,24;13261,99;24,83
"36";"02_2";"02_2_1";6,48;5,25;2,256;266,433;187,23;132,71;18,98;348,15;11809,97;29,48
"37";"02_2";"02_2_2";4,797;3,839;1,679;186,535;185,71;128,65;19,97;350,01;11109,89;31,5
"38";"02_2";"02_2_3";4,368;3,306;1,58;182,949;176,46;109,24;24,31;361,72;11579,05;31,24
"39";"02_2";"02_2_4";7,832;5,69;2,637;284,38;197;115,78;27,35;336,7;10784,22;31,22
"40";"02_2";"02_2_5";6;4,89;1,57;240,15;282,17;211,46;18,5;261,67;15296,18;17,11
"41";"02_3";"02_3_1";6,18;4,608;1,63;251,296;279,14;182,7;25,44;263,75;15416,93;17,11
"42";"02_3";"02_3_2";5,638;4,58;1,507;222,014;274,12;203,92;18,77;267,29;14732,18;18,14
"43";"02_3";"02_3_3";7,468;5,384;2,311;295,79;223,15;132,97;27,91;309,45;12799,22;24,18
"44";"02_3";"02_3_4";2,761;2,191;0,833;121,061;231,45;163,03;20,64;301,7;14533,13;20,76
"45";"02_3";"02_3_5";4,542;3,608;1,22;180,18;272,3;195,74;20,56;268,6;14768,85;18,19
"46";"02_4";"02_4_1";5,068;4,4;1,48;196,003;242,43;197,3;13,18;292,03;13243,45;22,05
"47";"02_4";"02_4_2";6,678;5,901;1,938;263,686;244,58;204,49;11,64;290,21;13606,09;21,33
"48";"02_4";"02_4_3";6,692;6,341;1,941;258,854;244,77;226,69;5,25;290,05;13336,12;21,75
"49";"02_4";"02_4_4";9,225;8,021;2,58;317,005;257,56;210,89;13,05;279,67;12287,02;22,76
"50";"02_4";"02_4_5";6,842;5,919;1,915;248,77;257,28;209,09;13,49;279,89;12990,6;21,55
"51";"02_5";"02_5_1";5,467;4,456;1,79;196,583;205,42;148,94;18,49;327,42;10982,29;29,81
"52";"02_5";"02_5_2";4,42;3,717;1,602;176,975;175,91;132,02;15,9;362,44;11047,13;32,81
"53";"02_5";"02_5_3";4,12;3,193;1,382;142,763;198,12;131,04;22,5;335,44;10330,17;32,47
"54";"02_5";"02_5_4";5,418;4,435;1,881;202,735;188,04;135,78;18,14;347,18;10778,04;32,21
"55";"02_5";"02_5_5";4,689;3,065;1,276;173,29;267,48;140,2;34,63;272,13;13580,72;20,04
"56";"02_6";"02_6_1";7,45;5,701;2,535;264,661;193,89;124,89;23,48;340,27;10440,28;32,59
"57";"02_6";"02_6_2";7,234;6,425;2,176;215,001;232,44;195,27;11,18;300,8;9880,56;30,44
"58";"02_6";"02_6_3";3,978;3,483;1,249;133,588;218,49;178,86;12,44;313,98;10695,6;29,36
"59";"02_6";"02_6_4";10,582;5,949;3,591;370,162;194,68;65,66;43,78;339,35;10308,05;32,92
"60";"02_6";"02_6_5";8,294;7,3;2,54;248,482;226,54;187,4;11,98;306,25;9782,76;31,31
"61";"03_1";"03_1_1";0,674;0,544;0,342;20,437;97,08;59,06;19,29;507,42;5975,73;84,91
"62";"03_1";"03_1_2";0,637;0,527;0,317;19,278;100,95;66,25;17,27;497,65;6081,39;81,83
"63";"03_1";"03_1_3";0,34;0,274;0,171;10,827;98,83;60,23;19,41;502,94;6331,58;79,43
"64";"03_1";"03_1_4";0,506;0,391;0,247;15,58;104,86;58,3;22,73;488,14;6307,69;77,39
"65";"03_1";"03_1_5";0,787;0,661;0,393;22,549;100,25;68,19;16,01;499,36;5737,66;87,03
"66";"03_2";"03_2_1";0,469;0,367;0,227;10,48;106,61;61,67;21,75;484,01;4616,74;104,84
"67";"03_2";"03_2_2";1,115;0,869;0,534;25,731;108,8;62,73;22,06;478,92;4818,54;99,39
"68";"03_2";"03_2_3";1,104;0,888;0,533;25,181;107,13;66,6;19,57;482,79;4724,39;102,19
"69";"03_2";"03_2_4";1,006;0,791;0,5;22,225;101,2;58,2;21,37;497,02;4445;111,82
"70";"03_2";"03_2_5";0,96;0,608;0,526;20,659;82,51;15,59;36,67;547,92;3927,57;139,51
"71";"03_3";"03_3_1";0,78;0,573;0,395;18,793;97,47;45,06;26,54;506,41;4757,72;106,44
"72";"03_3";"03_3_2";1,472;1,067;0,769;33,615;91,42;38,75;27,51;522,42;4371,26;119,51
"73";"03_3";"03_3_3";0,657;0,488;0,369;15,41;78,05;32,25;25,72;561,64;4176,15;134,49
"74";"03_3";"03_3_4";0,806;0,572;0,436;18,163;84,86;31,19;29,03;540,94;4165,83;129,85
"75";"03_3";"03_3_5";0,802;0,531;0,41;18,328;95,61;29,51;33,79;511,22;4470,24;114,36
"76";"03_4";"03_4_1";0,384;0,307;0,182;13,741;110,99;68,68;20,05;473,96;7550;62,78
"77";"03_4";"03_4_2";0,899;0,726;0,415;29,52;116,63;74,94;19,24;461,62;7113,25;64,9
"78";"03_4";"03_4_3";0,743;0,617;0,352;24,288;111,08;75,28;16,96;473,76;6900;68,66
"79";"03_4";"03_4_4";1,327;1,093;0,589;49,993;125,3;85,57;17,63;443,86;8487,78;52,29
"80";"03_4";"03_4_5";1,4;1,024;0,77;41,211;81,82;32,99;26,86;550;5352,08;102,76
"81";"03_5";"03_5_1";0,598;0,46;0,327;10,664;82,87;40,67;23,08;546,82;3261,16;167,68
"82";"03_5";"03_5_2";0,868;0,729;0,448;16,663;93,75;62,72;16,01;516,13;3719,42;138,77
"83";"03_5";"03_5_3";0,662;0,495;0,376;12,949;76,06;31,65;25,23;567,98;3443,88;164,92
"84";"03_5";"03_5_4";0,962;0,783;0,48;17,703;100,42;63,13;18,61;498,96;3688,12;135,29
"85";"03_5";"03_5_5";1,333;0,984;0,76;24,086;75,39;29,47;26,18;570,14;3169,21;179,9
"86";"03_6";"03_6_1";1,146;0,758;0,667;20,646;71,81;13,64;33,86;582,02;3095,35;188,03
"87";"03_6";"03_6_2";1,41;0,902;0,8;26,31;76,25;12,75;36,03;567,38;3288,75;172,52
"88";"03_6";"03_6_3";1,013;0,686;0,584;17,94;73,46;17,47;32,28;576,51;3071,92;187,67
"89";"03_6";"03_6_4";1,21;0,989;0,63;21,866;92,06;56,98;18,26;520,66;3470,79;150,01
"90";"03_6";"03_6_5";1,222;1,017;0,619;21,676;97,42;64,3;16,78;506,55;3501,78;144,66
"91";"04_1";"04_1_1";0,431;0,23;0,19;10,298;126,84;21,05;46,64;440,84;5420;81,34
"92";"04_1";"04_1_2";0,599;0,358;0,261;13,861;129,5;37,16;40,23;435,73;5310,73;82,05
"93";"04_1";"04_1_3";0,471;0,25;0,204;10,844;130,88;22,55;46,92;433,12;5315,69;81,48
