"";"ID_echantillon";"DI";"BT";"MT";"BB";"Nb_ramifications";"SV";"SD";"TMC_t0";"TMC_t24";"PET";"TDMC";"TD";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT"
"1";"01_1";9;17;625,5;60;11;NA;NA;127,45;112,97;6,36;439,67;0,47;6,73;160,04;117,85;16,6;404,54;24,25;10590,87;0,05
"2";"01_2";8;32;812;65;13;NA;NA;132,07;110,28;9,39;430,91;0,36;5,87;167,9;136,48;11,68;373,83;28,33;10107,54;0,04
"3";"01_3";9;20;801,2;70;6;NA;NA;257,09;188,29;19,27;280,04;0,41;9,56;175,15;143,42;11,58;365,59;56,04;11541,92;0,03
"4";"01_4";8;19;705;75;6;NA;NA;147,02;121,77;10,22;404,82;0,37;5,91;170,73;143,14;10,16;369,86;55,56;11780,83;0,03
"5";"01_5";8,5;12;812;30;4;NA;NA;156,99;141,6;5,99;389,11;0,35;8,35;138,97;100,93;16,01;419,02;77,2;10831,89;0,04
"6";"01_6";9;16;798;40;2;NA;NA;109,63;94,79;7,08;477,04;0,45;11,18;102,34;74,59;13,68;494,43;98,72;7712,65;0,06
"7";"02_1";8;12;713;10;2;NA;NA;103,69;89,9;6,77;490,95;0,58;16,31;228,89;139,96;27,01;305,24;375,44;13869,78;0,02
"8";"02_2";8;21;513;10;2;NA;NA;397,36;320,13;15,53;201,06;0,29;7,37;206,78;140,38;21,82;330,28;232,09;12160,68;0,03
"9";"02_3";9;15;606;25;1;NA;NA;107,39;97,54;4,75;482,19;0,48;31,35;256,03;175,27;22,77;282,16;214,07;14450,06;0,02
"10";"02_4";8;27;632;20;5;NA;NA;131,94;109,39;9,72;431,14;0,47;38,91;250,16;210,42;11,32;285,72;256,86;13121,57;0,02
"11";"02_5";8;12;468;5;3;NA;NA;202,33;185,57;5,55;330,76;0,53;28,35;206,99;137,6;21,93;328,92;178,47;11343,67;0,03
"12";"02_6";9;18;688;40;1;NA;NA;101,33;92,55;4,36;496,7;0,52;28,23;213,04;150,42;20,54;320,32;246,38;10221,45;0,03
"13";"03_1";8;103;848;85;20;0,06;5,08;72,47;59,18;7,7;579,8;0,89;8,09;100,39;62,41;18,94;499,1;17,73;6084,38;0,08
"14";"03_2";8,5;80;880,5;95;7;0,03;4,46;81,34;68,38;7,14;551,46;0,83;16,72;101,25;52,96;24,28;498,13;20,86;4506,45;0,11
"15";"03_3";9;144;844,5;85;8;0,12;1,51;83,55;68,8;8,04;544,81;0,59;12,62;89,48;35,35;28,52;528,53;20,86;4388,24;0,12
"16";"03_4";9;68;751,3;35;7;0,06;1,82;86,1;69,39;8,98;537,33;0,51;19,85;109,16;67,49;20,15;480,64;31,75;7080,62;0,07
"17";"03_5";9;112;820,8;90;8;0,09;4,12;66,48;58,89;4,56;600,66;0,89;18,95;85,7;45,53;21,82;540,01;16,41;3456,36;0,16
"18";"03_6";8,5;78;776,2;80;11;0,09;2,72;73,99;61,55;7,15;574,75;0,71;34,61;84,08;34,3;27,44;544,7;21,69;3318,99;0,16
"19";"04_1";7,5;32;644,8;20;5;0,08;1,95;78,31;58,92;10,87;560,82;0,63;80,47;124,01;25,48;43,87;447,3;12,28;5179,3;0,09
"20";"04_2";9;85;642,2;45;14;0,08;2,11;86,74;72,28;7,74;535,49;0,65;70,03;93,14;22,59;36,55;518,38;10,92;4297,01;0,12
"21";"04_3";8,5;98;845,6;95;12;0,1;3,43;69,7;62,78;4,08;589,29;0,88;84,66;95,08;11,02;43,04;513,26;15,46;4143,54;0,12
"22";"04_4";4,5;50;746,7;30;5;0,08;3,29;66,74;60,99;3,45;599,74;0,88;92,75;113,6;15,33;45,98;468,25;22,52;4261,9;0,11
"23";"04_5";9;77;788;95;16;0,07;3,03;76,39;64,27;6,87;566,93;0,72;64,64;91,02;17,63;38,41;523,58;15,58;4856,36;0,11
"24";"04_6";NA;NA;835,4;55;19;0,06;3,81;74,09;61,31;7,34;574,41;0,73;64,67;88,45;13,91;39,58;532,35;16,63;4170,75;0,13
"25";"05_1";9;59;656,9;90;12;0,03;7,14;91,39;78,78;6,59;522,49;0,87;44,08;119,64;45,18;34,01;455,57;17,92;4485,07;0,1
"26";"05_2";9;34;732,6;45;8;0,02;6,82;95,48;81,72;7,04;511,55;0,73;16,82;115,43;78,97;16,88;464,29;25,51;4838,65;0,1
"27";"05_3";9;72;873,2;90;11;0,05;5;72,21;60,37;6,88;580,68;0,69;11,6;105,86;75,16;15,29;486,55;19,64;4719,8;0,1
