"";"Nom_scientifique";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"Nb_ramifications";"SD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT"
"1";"Acacia spirorbis";22;"L";29,1;1,5;68,8;9,33;0,67;9,33;54,67;54,67;656,47;58,33;58,33;13,33;3,07;74,53;59,64;574,04;0,59;11,12;11,88;226,52;163,18;19,37;313,55;7,76;10328,33;0,03
"2";"Acronychia laevis";41;"L";27,4;1,4;75;9,33;0,67;9,33;15,83;15,83;518,97;40;40;13,83;1,58;100,06;75,67;503,26;0,41;7,78;11,42;236,43;144,84;28,13;302,32;20,99;17628,53;0,02
"3";"Acropogon bullatus";19;"G";29,1;1,5;68,8;6,62;3,38;6,62;38;38;621,18;23,75;23,75;1,67;12,53;150,36;132,84;401,5;0,99;18,41;6,56;177,51;150,31;9,8;363,52;174,54;8185,97;0,05
"4";"Agathis lanceolata";38;"F";26,6;1,5;65,3;7,42;2,58;7,42;87,17;87,17;730,98;50,83;50,83;11,83;4,28;97,78;88,62;505,98;0,83;15,48;15,2;121,86;108,65;6,12;458,23;18,85;4454,11;0,11
"5";"Aleurites moluccana";51;"F";29,5;5;59,9;9,08;0,92;9,08;19,5;19,5;674,53;39,17;39,17;0,67;9,98;208,86;196,61;329,36;0,55;12,32;28,65;218,85;158,44;19,31;316,34;132,15;11457,72;0,03
"6";"Alphitonia neocaledonica";3;"M";31,8;4,2;54,9;9;1;9;97,83;97,83;820,22;80;80;10,17;3,3;77,32;64,36;564,8;0,74;14,31;18,47;95,01;49,67;23,53;515,18;21,55;4805,84;0,12
"7";"Alstonia balansae";29;"F";27,4;1,2;70,9;9,17;0,83;9,17;27,5;27,5;485,48;21,67;21,67;2,5;6,1;118,34;101,03;465,01;0,55;10,9;7,6;252,1;203,46;13,97;285,65;105,21;11204,81;0,03
"8";"Alstonia vieillardii";47;"N";24,1;2,4;64,2;8,83;1,17;8,83;23,5;23,5;607,2;32,5;32,5;2;8,77;102,86;90;495,55;0,48;9,83;11,25;269,58;199,02;19,49;274,53;180,63;11360,97;0,03
"9";"Araucaria columnaris";7;"G";31,1;4,6;73,5;8,4;1,6;8,4;114,6;114,6;508,24;29;29;1;26,15;80,37;68,56;556,9;0,84;16,44;3,24;114,7;105,68;4,14;469,26;43,13;4464,61;0,13
"10";"Archidendropsis granulosa";28;"F";26,4;4;67,1;9,5;0,5;9,5;28;28;704,23;88,33;88,33;7,83;1,81;86,36;68,42;538,62;0,52;9,56;16,44;130,44;41,65;38,39;435,02;0,44;13711,39;0,03
"11";"Arillastrum gummiferum ";9;"M";28,32;3,5;77,32;8,75;1,25;8,75;33;33;750,67;42,5;42,5;8,33;5,99;78,22;66,56;561,32;0,91;12,54;8,56;126,36;88,6;16,84;445,86;57,61;5769,98;0,08
"12";"Barringtonia asiatica";17;"G";26,3;1,5;81,7;6,25;3,75;6,25;14,75;14,75;422,62;7;7;2;4,91;215,83;193,71;321,18;0,84;16,72;3,26;324,13;304,66;4,59;237,58;377,08;9536,19;0,03
"13";"Calophyllum caledonicum";39;"F";26,6;1,5;65,3;8,4;1,6;8,4;33;33;744,04;38;38;9,17;4,39;94,56;84,02;515,58;0,64;12,16;15,49;126,67;92,85;14,99;441,69;30,34;5549,05;0,08
"14";"Calophyllum inophyllum";13;"G";28,5;3,2;68,1;9,1;0,9;9,1;33,6;33,6;622,58;78;78;2,33;14,43;125,25;106,76;445,66;0,67;12,49;8,34;147,14;110,05;15,08;411,52;104,79;6754,5;0,06
"15";"Casuarina collina";8;"R";29,6;3,8;71,9;9,5;0,5;9,5;38;38;702,62;94,17;94,17;23,33;4,52;70,81;51,11;586,74;0,5;8,98;11,56;110,58;29,52;38,31;478,88;4,52;12421,98;0,04
"16";"Cerbera manghas";20;"G";29,1;1,5;68,8;8,5;1,5;8,5;19,25;19,25;561,85;15;15;3,33;6,08;223,47;201,5;333,02;0,75;15,92;2,8;281,45;251,62;7,8;263,52;68,34;13831,25;0,02
"17";"Codia spatulata";5;"M";31,8;4,2;54,9;8,33;1,67;8,33;64,17;64,17;785,05;62,5;62,5;9,83;5,05;81,09;67,98;553,61;0,74;13,78;21,82;111,44;70,75;19,3;473,65;18,25;4727,77;0,1
"18";"Codiaeum peltatum";42;"L";27,4;1,4;75;8,7;1,3;8,7;14;14;636,68;20;20;5;1,95;91,81;75,47;522,79;0,51;9,57;4,65;204,52;179,13;8,32;330,79;21,98;12216,66;0,03
"19";"Cordia dichotoma";44;"L";25,7;1,2;76,8;9,1;0,9;9,1;22;22;655,44;33;33;1,17;1,63;209,58;162,79;325,96;0,39;7,65;60,81;258,84;35,85;61,81;280,92;44,98;13672,88;0,02
"20";"Crossostylis grandiflora";48;"F";29,5;5;59,9;8,92;1,08;8,92;20,17;20,17;656,78;42,5;42,5;3,83;9,36;156,55;140,71;389,96;0,6;11,48;35,92;219,21;166,39;16,82;315,96;73,55;8886,56;0,04
"21";"Diospyros fasciculosa";40;"L";27,4;1,4;75;9,33;0,67;9,33;20,33;20,33;709,98;33,33;33,33;7,5;2,21;86,77;73,44;536,18;0,48;9,11;10,66;103,68;58,12;22,36;492,48;35,83;9212,55;0,06
"22";"Elaeocarpus angustifolius";53;"F";26,1;1;77,4;9,5;0,5;9,5;18,33;18,33;700,57;57,5;57,5;7,5;2,08;136,93;116,03;422,64;0,44;9,28;31,1;152,03;90,24;24,44;398,05;23,68;11276,37;0,04
"23";"Elattostachys apetala";26;"F";26,4;4;67,1;9,5;0,5;9,5;37;37;785,67;80;80;3,33;2,62;95,99;78,33;510,61;0,55;10,27;11,55;147,53;113,28;12,98;410,17;33,64;12700,76;0,03
