"";"Nom_scientifique";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_ramifications";"SD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT"
"1";"Acacia spirorbis";22;"L";0;0;0;0,24;0,24;0,24;38,08;38,08;65,57;9,59;9,59;0;1,52;1,07;7,59;6,23;25,5;0,06;1,72;6,6;48,37;47,19;8,56;51,33;2,12;2321,93;0,01
"2";"Acronychia laevis";41;"L";0;0;0;0,24;0,24;0,24;3,02;3,02;131,47;16,35;16,35;0;4,6;0,41;16,52;11,95;42,77;0,04;0,78;4,07;43,04;61,46;12,49;41,8;9,62;3007,48;0,01
"3";"Acropogon bullatus";19;"G";0;0;0;3,35;1,24;1,24;36,75;35,51;243,01;29,28;28,68;0,48;1,4;2,87;18,65;14,46;28,9;0,17;3,33;5,53;25,43;24,9;3,63;36,01;60,92;1535,17;0,01
"4";"Agathis lanceolata";38;"F";0;0;0;0,74;0,74;0,74;44,74;44,74;91,78;23,38;23,38;0;6,2;1,18;5,48;3,01;13,83;0,16;2,37;6,24;29,93;31,79;2,43;58,02;3,72;1068,62;0,04
"5";"Aleurites moluccana";51;"F";0;0;0;0,19;0,19;0,19;7,04;7,04;97,28;16,72;16,72;0;1,12;3,3;41,88;39,79;42,93;0,07;1,41;14,08;29,96;54,16;13,25;30,32;50,18;1497,66;0,01
"6";"Alphitonia neocaledonica";3;"M";0;0;0;0;0;0;26,05;26,05;44,88;18,57;18,57;0;4,68;1,38;7;4,66;22,52;0,15;2,73;8,38;13,52;20,26;6,21;35,8;8,56;1463,07;0,04
"7";"Alstonia balansae";29;"F";0;0;0;0,24;0,24;0,24;21,38;21,38;123,98;19,62;19,62;0;0,97;1,19;27,57;29,48;57,61;0,04;0,81;2,08;27,63;33,26;4,07;21,81;59,5;1904,04;0,01
"8";"Alstonia vieillardii";47;"N";0;0;0;0,48;0,48;0,48;5,69;5,69;99,55;12,37;12,37;0;1,76;4,86;14,54;15,61;37,55;0,04;0,65;5,08;47,03;56,71;8,06;32,6;107,94;2138,81;0,01
"9";"Araucaria columnaris";7;"G";0;0;0;3,19;0,56;0,56;83,6;82,25;250,35;26,82;26,82;0,38;1,44;8,46;12,33;8,05;37,53;0,07;1,75;1,24;17,1;15,02;1,71;46,44;50,97;4777,68;0,05
"10";"Archidendropsis granulosa";28;"F";0;0;0;0;0;0;12,15;12,15;104,84;8,64;8,64;0;1,8;0,54;11,69;13,27;33,52;0,07;1,45;2,66;11,91;4;3,28;21,64;0,08;1846,59;0,01
