"";"Nom_scientifique";"DI";"BT";"MT";"BB";"Nb_ramifications";"SV";"SD";"TMC_t0";"TMC_t24";"PET";"TDMC";"TD";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT"
"1";"Acacia spirorbis";0,19;38,05;65,57;13,35;1,52;0,01;1,07;7,59;6,23;2,03;25,5;0,06;6,6;48,37;47,19;8,56;51,33;2,12;2321,93;0,01
"2";"Acropogon bullatus";3,5;36,62;243,01;31,17;1,4;0,01;2,9;18,65;14,46;1,75;28,9;0,17;5,53;25,43;24,9;3,63;36,01;60,92;1535,17;0,01
"3";"Alphitonia_neocaledonica";0,38;26,13;44,88;20,27;4,68;0,03;1,37;7;4,66;1,38;22,52;0,15;8,38;13,52;20,26;6,21;35,8;8,56;1463,07;0,04
"4";"Alstonia balansae";0,24;21,38;123,98;20,08;0,97;0,01;1,2;NA;NA;2,05;NA;0,04;NA;NA;NA;4,07;NA;59,5;NA;NA
"5";"Araucaria_columnaris";3,15;98,12;250,35;27,49;1,44;0,01;8,52;12,33;8,05;2,5;37,53;0,07;1,24;17,1;15,02;1,71;46,44;50,97;4777,68;0,05
"6";"Archidendropsis granulosa";0;12,15;104,84;8,64;1,8;0,03;0,54;NA;NA;1,88;NA;0,07;NA;NA;NA;3,28;NA;0,08;NA;NA
"7";"Arillastrum_gummiferum ";0,63;14;100,69;22,7;1,83;0,02;1,74;3,51;3,75;1,7;11,23;0,18;3,32;21,78;23,03;4;44,24;14,5;1539,03;0,02
"8";"Barringtonia asiatica";3,25;8,09;163,89;4,22;1,55;0,01;1,13;40,23;42,34;3,17;37,24;0,13;2,01;37,51;35,52;0,81;21,26;125,29;1274,51;0,01
"9";"Calophyllum inophyllum";3,12;16,52;112,59;28,11;1,92;0,01;5,79;14,41;13,98;1,71;27,68;0,16;3,9;31,1;31,91;6,11;60,06;38,29;868,23;0,02
"10";"Casuarina_collina";0,22;32,5;123,41;1,9;6,18;0,02;2,78;8,21;5,24;3,75;27,56;0,37;4,48;20,35;18,44;7,74;43,02;3,11;6147,13;0,02
"11";"Cerbera manghas";4,14;10,85;229,33;6,83;1,73;0,02;1,81;74,75;70,35;3,14;108,77;0,12;1,07;25,75;25,45;2,8;21,08;19,29;1973,82;0
"12";"Codia_spatulata";1,52;17,51;72,93;26,04;1,49;0,05;1,73;9,31;9,07;0,82;27,77;0,1;10,97;8,19;22,92;10,14;19,01;5,77;460,25;0,01
"13";"Elattostachys apetala";0;17,09;34,58;9,59;1,92;0,02;0,58;NA;NA;1,58;NA;0,06;NA;NA;NA;12,14;NA;12,43;NA;NA
"14";"Fagraea berteroana";4,35;5,94;188,11;2,54;0,76;0,01;6,28;NA;NA;1,23;NA;0,09;NA;NA;NA;4,08;NA;23,87;NA;NA
"15";"Ficus habrophyla";0,19;7,67;30,71;30,62;1,23;0,01;1,87;NA;NA;2,24;NA;0,16;NA;NA;NA;10,31;NA;149,15;NA;NA
"16";"Geissois pruinosa";0,39;36,78;35,96;23,01;2,6;0,02;3,11;4,05;4,42;1,19;10,75;0,1;8,31;29,26;35,14;6,96;43,77;8,77;1070,16;0,02
"17";"Grevillea rubiginosa";1,73;24,53;83,64;29,75;5,36;0,01;0,69;6,53;4,36;2,5;20,98;0,1;10,74;15,33;7,61;4,17;36,92;5,57;492,56;0,02
"18";"guioa villosa";0,24;10,88;72;13,9;2,54;0,01;1,9;NA;NA;0,82;NA;0,04;NA;NA;NA;8,85;NA;1,26;NA;NA
"19";"Hernandia cordigera";2,21;3,36;96,57;6,83;1,74;0,01;4,16;NA;NA;1,47;NA;0,07;NA;NA;NA;2,69;NA;22,72;NA;NA
"20";"Hibbertia_lucens";0,35;7,48;39,76;16,19;1,74;0,01;1,23;6,72;6,08;1,9;16,71;0,19;14,13;35,6;55,76;14;42,29;2,46;916,32;0,01
"21";"Hibiscus tiliaceus";0,24;15,57;34,47;8,52;1,49;0,01;1,2;18,56;19,73;1,31;29,13;0,1;5,92;29,99;53,38;15,48;34,04;56,12;2194,02;0,01
"22";"Leucaena leucocephala";0;5,72;51,8;13,98;4,26;0,02;1,14;24,13;19,03;2,72;55,62;0,09;9,73;97,31;15,31;5,99;74,58;0,06;5115,48;0
"23";"Mangifera_indica";0,46;6,32;71,51;16,52;3,9;NA;NA;48,84;30,8;4,62;62,86;0,05;2;36,2;35,06;3,81;62,13;34,36;2051,41;0,02
"24";"Melaleuca quinquenervia";0,25;7,11;22,05;12,94;3,03;0,04;1,22;17,43;18,31;2,66;36,08;0,08;8,39;12,9;18,8;7,8;26,64;2,95;633,03;0,02
"25";"Metrosideros_laurifolia";0,38;46,51;155,31;26,04;3,02;0,04;1,57;9,34;8,35;1;29,93;0,12;5,75;15,88;22,39;5,88;27,34;25,13;476,66;0,02
"26";"Neuburgia novocaledonica";4,66;6,19;147,43;14,51;1,41;0,02;2,92;NA;NA;3,4;NA;0,13;NA;NA;NA;21,21;NA;58,53;NA;NA
"27";"Pinus caribea";0;45,59;64,75;20,48;4,18;0,02;2,17;8,59;8,69;0,97;24,27;0,09;2,79;15,89;19,87;5,57;27,93;0,84;804,06;0,01
"28";"Santalum austrocaledonicum";0,46;12,98;83,67;23,61;2,54;0,01;1,32;9,55;161,43;78,87;27,39;0,1;11,77;35,06;36,5;6,56;34,11;2,59;1719,77;0,01
