"";"X";"Nom_scientifique";"ID_espece";"Milieu_recolte";"Genre";"Espece";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_rami";"BD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT";"VPD";"BD_mean";"Nb_FI";"Nb_essais";"groupe";"BD_mean_cr";"TD_cr";"LA_cr";"LDMC_cr";"LMC_t24_cr";"SLA_cr";"Nb_rami_cr";"Gmin_cr";"LMC_t0_cr";"ratio";"logLMC24";"logLMC0"
"1";1;"Acacia spirorbis";22;"L";"Acacia";"spirorbis";29,1;1,5;68,8;9,33;0,67;9,33;54,67;54,67;656,47;58,33;58,33;1;13,33;3,07;74,53;59,64;574,04;0,59;11,12;11,88;226,52;163,24;19,35;313,55;7,76;10328,33;33,18;1,26;3,07;6;6;"4";-0,58351581326623;-0,322473739090705;-0,742699211210447;-0,483679110779101;0,365124003889988;-0,0177577497355683;1,25617755212299;-0,607165212944825;0,192029530833227;0,720642768850433;5,0952215105376;5,4228332412456
"2";2;"Acalypha sp";70;"";"Acalypha";"sp";34,2;0;68,9;0;0,75;9,25;0,33;9,83;185;3,67;9,5;0,17;2,67;14,77;214,25;168,16;342,78;0,48;9,65;7,27;292,68;179,15;29,34;262,38;214,45;22392,93;13,7;1,67;14,77;1;6;"2";1,64561696460608;-0,93030787134096;1,67428595742767;-0,988813685118443;0,528583274403328;2,26491934266067;-0,75988269523057;-0,841812893586286;0,801418749217042;0,612101954352877;5,18822344375096;5,67907986201583
"3";3;"Acronychia laevis";41;"L";"Acronychia";"laevis";27,4;1,4;75;9,33;0,67;9,33;15,83;15,83;518,97;40;40;1;13,83;1,58;100,06;75,67;503,26;0,41;7,78;11,42;236,43;145,28;28;302,32;20,99;17628,53;18,24;0,91;1,58;6;6;"2";-0,867396825149114;-1,31711141004567;-0,587990643882167;-0,594538232722248;0,180603042329988;1,36347323263525;1,350739477421;-0,630579081295166;0,283308961821492;0,614473628558136;4,97866291485298;5,46565218103367
"4";4;"Acropogon bullatus";19;"";"Acropogon";"bullatus";29,1;1,5;68,8;4,42;3,75;6,25;25,33;27,17;464,12;15,83;17;0,67;1,67;10,76;150,36;132,84;401,5;0,99;18,41;6,56;177,5;150,3;9,8;363,54;174,54;8185,84;46,58;1,26;10,76;4;6;"3";0,881615046719928;1,88783219636477;1,20758762620532;0,00980686481643764;0,232178500405222;-0,423126584482515;-0,949006545826588;-0,877951690387899;-0,259485878555748;0,846760563380282;5,01263329675893;5,17897060891547
"5";5;"Agathis lanceolata";38;"";"Agathis";"lanceolata";26,6;1,5;65,3;7,42;2,58;7,42;87,17;87,17;730,98;50,83;50,83;1;11,83;4,28;97,78;88,62;505,98;0,83;15,48;15,2;121,86;108,65;6,12;458,23;18,85;4454,11;111,92;1,21;4,28;6;6;"5";-0,352981568717042;1,00370982218258;-0,613015310101556;0,944557555537412;-0,195733417689099;-1,12918684226212;0,972491776228959;-0,438178163111929;-0,771977053145763;0,89159691449204;4,68813170670244;4,80287284482035
"6";6;"Aleurites moluccana";51;"";"Aleurites";"moluccana";29,5;5;59,9;9,08;0,92;9,08;19,5;19,5;674,53;39,17;39,17;1;0,67;9,98;208,86;196,61;329,36;0,55;12,32;28,66;219,08;158,49;19,36;316,06;132,15;11455,95;28,28;1,65;9,98;6;6;"4";0,733006194861774;-0,543504332636252;0,71188874721471;-0,458901159213892;0,316322524635533;0,195593073576257;-1,13813039642261;0,246931984704569;0,123500876287043;0,72343436187694;5,06569149984433;5,38943695991552
"7";7;"Alphitonia neocaledonica";3;"M";"Alphitonia";"neocaledonica";31,8;4,2;54,9;9;1;9;97,83;97,83;820,22;80;80;1;10,17;3,3;77,32;64,36;564,8;0,74;14,31;18,47;94,7;49,46;23,52;516,17;21,55;4800,7;118,46;2,12;3,3;6;6;"5";-0,539695254384979;0,506390986705097;-0,581442133095784;1,51652349724586;-0,803851219177762;-1,06361044076902;0,658546184239569;-0,271736098969288;-1,022143485602;0,522280887011616;3,90116426209327;4,55071400019203
"8";8;"Alstonia balansae";29;"";"Alstonia";"balansae";27,4;1,2;70,9;9,17;0,83;9,17;27,5;27,5;485,48;21,67;21,67;1;2,5;6,1;118,34;101,03;465,01;0,55;10,9;7,59;251,49;202,87;14;286,12;105,21;11181,4;26,6;1,06;6,1;6;6;"2";-0,00622758104801688;-0,543504332636252;0,396858603312678;-0,754459673103278;0,772282450806624;0,143646967139459;-0,792033749831893;-0,825524985168657;0,422024222233527;0,806672233488409;5,31256537981324;5,52740322731788
"9";9;"Alstonia vieillardii";47;"N";"Alstonia";"vieillardii";24,1;2,4;64,2;8,83;1,17;8,83;23,5;23,5;607,2;32,5;32,5;1;2;8,77;102,86;90;495,55;0,48;9,83;11,24;269,67;199,02;19,51;274,47;180,63;11360,97;25,47;1,08;8,77;6;6;"2";0,502471950312587;-0,93030787134096;1,27880268100723;-0,86946490646371;0,732727567621435;0,177622426374046;-0,886595675129902;-0,639741029780082;0,589477305519769;0,738013127155412;5,29340532218702;5,59719898925342
"10";10;"Araucaria columnaris";7;"";"Araucaria";"columnaris";31,1;4,6;73,5;7;1,83;8,17;95,5;96,67;448,53;24,17;24,17;0,83;1;25,93;80,37;68,56;556,9;0,84;16,44;3,24;114,35;105,49;4,07;470,12;43,13;4458,47;134,14;1,2;25,93;5;6;"3";3,77186669119197;1,05896747056896;-0,32909059243484;1,06193199542201;-0,228199243887851;-1,12836191046804;-1,07571952572592;-1,04693874022079;-0,841150466538484;0,922518583296896;4,65861616169372;4,73926392046879
"11";11;"Archidendropsis granulosa";28;"F";"Archidendropsis";"granulosa";26,4;4;67,1;9,5;0,5;9,5;28;28;704,23;88,33;88,33;1;7,83;1,81;86,36;68,42;538,62;0,52;9,56;16,44;130,44;41,65;38,39;435,02;0,43;13711,39;32,52;1,13;1,81;6;6;"4";-0,823576266267863;-0,709277277795413;-0,828414539896486;0,715435541263108;-0,884091125067717;0,622332561107892;0,215996373844886;-0,375062517993619;-0,692948040241695;0,319303894510886;3,72930136861285;4,87091335092112
"12";12;"Arillastrum gummiferum";9;"M";"Arillastrum";"gummiferum";28,32;3,5;77,32;8,75;1,25;8,75;33;33;750,67;42,5;42,5;1;8,33;5,99;78,22;66,56;561,32;0,91;12,55;8,55;126,03;88,31;16,82;446,43;57,71;5765,58;82,69;0,88;5,99;6;6;"4";-0,0271852396433974;1,44577100927367;-0,158595436603673;0,828071568099378;-0,404706488854488;-0,881050764284822;0,310558299142895;-0,776661259915772;-0,733567847573506;0,700706181068;4,48085335148071;4,8365199738494
"13";13;"Barringtonia asiatica";17;"G";"Barringtonia";"asiatica";26,3;1,5;81,7;4,17;4,17;5,83;9,83;11,5;331,75;4,67;5,83;0,67;2;4,92;215,83;193,71;321,18;0,84;16,72;3,27;324,03;304,57;4,59;237,63;378,08;9548,28;25,54;0,63;4,92;4;6;"1";-0,231046100525737;1,05896747056896;3,58773742167004;-1,2331381079228;1,81714780663357;-0,165346751105169;-0,886595675129902;-1,04541174880664;1,09017860405883;0,939943832361201;5,7189009457879;5,78083610409849
