"ID_echantillon";"Nom_scientifique";"Genre";"Espece";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_ramifications";"BD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT";"VPD"
"01_1";"Mangifera indica";"Mangifera";"indica";1;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;61,81;56,39;2,78;105,25;17,25;3574,27;28,79;0
"01_2";"Mangifera indica";"Mangifera";"indica";1;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;11,45;7,01;1,65;15,74;12,91;1002,38;5,29;0
"01_3";"Mangifera indica";"Mangifera";"indica";1;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;22,55;23,03;3,18;32,87;9,91;1371,79;7,08;0
"01_4";"Mangifera indica";"Mangifera";"indica";1;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;11,06;7,49;1,26;14,83;26,36;877,27;3,42;0
"01_5";"Mangifera indica";"Mangifera";"indica";1;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;9,4;18,43;5,8;16,22;33,91;1006,69;4,94;0
"01_6";"Mangifera indica";"Mangifera";"indica";1;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;4,61;5,11;3,19;11,1;33,12;314,45;3,65;0
"02_1";"Terminalia catappa";"Terminalia";"catappa";2;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;23,26;22,93;4,88;20,99;140,97;1067,5;3,05;0
"02_2";"Terminalia catappa";"Terminalia";"catappa";2;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;43,36;41,29;3,85;40,11;46,01;1822,18;6,2;0
"02_3";"Terminalia catappa";"Terminalia";"catappa";2;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;26,51;28,43;3,84;21,62;66,94;980,85;2,86;0
"02_4";"Terminalia catappa";"Terminalia";"catappa";2;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;7,45;10,86;3,47;6,07;43,12;501,27;0,55;0
"02_5";"Terminalia catappa";"Terminalia";"catappa";2;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;35,59;7,29;7,49;34,38;23,56;1281,6;5,4;0
"02_6";"Terminalia catappa";"Terminalia";"catappa";2;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;17,97;54,83;13,92;18,57;85,68;383,69;1,48;0
"03_1";"Alphitonia neocaledonica";"Alphitonia";"neocaledonica";3;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,9;4,5;2,55;7,18;4,62;246,46;3,92;0
"03_2";"Alphitonia neocaledonica";"Alphitonia";"neocaledonica";3;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,86;21,1;6,99;28,65;6,17;352,12;16,3;0
"03_3";"Alphitonia neocaledonica";"Alphitonia";"neocaledonica";3;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,02;6,46;3,19;22,78;7,25;243,91;11,39;0
"03_4";"Alphitonia neocaledonica";"Alphitonia";"neocaledonica";3;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,36;20,22;3,95;40,67;14,21;1142,58;19,15;0
"03_5";"Alphitonia neocaledonica";"Alphitonia";"neocaledonica";3;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,05;16,43;4,37;31,59;5,14;246,79;19,39;0
"03_6";"Alphitonia neocaledonica";"Alphitonia";"neocaledonica";3;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,71;25,4;9,17;34,56;3,02;201,8;20,47;0
"04_1";"Grevillea rubiginosa";"Grevillea";"rubiginosa";4;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,83;6,89;4,2;23,05;2,27;442,05;13,3;0
"04_2";"Grevillea rubiginosa";"Grevillea";"rubiginosa";4;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,22;7,44;2,07;20,32;1,23;378,39;16,84;0
