"";"Nom_scientifique";"ID_espece";"Milieu_recolte";"tem2[, 1]"
"1";"Araucaria columnaris";7;"";0
"2";"Casuarina collina";8;"";1,6431676725155
"3";"Santalum austrocaledonicum";14;"";0
"4";"Hibiscus tiliaceus";16;"";0
"5";"Acropogon bullatus";19;"";0
"6";"Melaleuca quinquenervia";23;"";0
"7";"Alstonia balansae";29;"";0
"8";"Hernandia cordigera";30;"";0
"9";"Fagraea berteroana";31;"";0
"10";"Agathis lanceolata";38;"";0
"11";"Scaevola montana";46;"";0
"12";"Glochidion billardierei";50;"";0
"13";"Aleurites moluccana";51;"";0
"14";"Elaeocarpus angustifolius";53;"";0
"15";"Wikstroemia indica ";55;"";0
"16";"Ficus fraseri";56;"";0
"17";"Tristaniopsis calobuxus";57;"";0
"18";"Cerberiopsis candelabra";58;"";NA
"19";"Styphelia cymbulae";59;"";0
"20";"Dracophyllum verticillatum";60;"";0
"21";"Commersonia bartramia";61;"";0
"22";"Scaevola cylindrica";62;"";0,0408248290463869
"23";"Deplanchea speciosa";63;"";0
"24";"Plerandra gabriellae";64;"";0,0547722557505174
"25";"Macaranga alchorneoides";65;"";0
"26";"Garcinia neglecta";66;"";1,4459137825841
"27";"Montrouziera sphaeroidea";67;"";0
"28";"Rauvolfia semperflorens";68;"";0
"29";"Morinda citrifolia";69;"";0
"30";"Acalypha sp";70;"";NA
"31";"Ficus habrophyla";25;"F";0
"32";"Elattostachys apetala";26;"F";0
"33";"Neuburgia novocaledonica";27;"F";0
"34";"Archidendropsis granulosa";28;"F";0
"35";"Tabernaemontana cerifera";36;"F";0
"36";"Myodocarpus fraxinifolius";37;"F";0
"37";"Calophyllum caledonicum";39;"F";0
"38";"Crossostylis grandiflora";48;"F";0
"39";"Geissois racemosa";49;"F";0
"40";"Calophyllum inophyllum";13;"G";0
"41";"Barringtonia asiatica";17;"G";0
"42";"Cerbera manghas";20;"G";0
"43";"Scaevola taccada";21;"G";NA
"44";"Mangifera indica";1;"I";0
"45";"Terminalia catappa";2;"I";0
"46";"Syzygium cumini";15;"I";0
"47";"Leucaena leucocephala";18;"I";0
"48";"Pinus caribea";24;"I";0
"49";"Acacia spirorbis";22;"L";0
"50";"Diospyros fasciculosa";40;"L";0
"51";"Acronychia laevis";41;"L";0
"52";"Codiaeum peltatum";42;"L";0
"53";"Gardenia urvillei";43;"L";0
"54";"Cordia dichotoma";44;"L";0
"55";"Lepidocupania arcuata";45;"L";0
"56";"Alphitonia neocaledonica";3;"M";0
"57";"Grevillea rubiginosa";4;"M";0
"58";"Codia spatulata";5;"M";0
"59";"Geissois pruinosa";6;"M";0
"60";"Arillastrum gummiferum ";9;"M";1,2270560976038
"61";"Hibbertia lucens";10;"M";1,2270560976038
"62";"Metrosideros laurifolia";11;"M";1,2270560976038
"63";"Tristaniopsis glauca";12;"M";1,2270560976038
"64";"Guioa villosa";32;"M";0
"65";"Alstonia vieillardii";47;"N";0
"66";"Trema cannabina";52;"N";0
"67";"Erythrina variegata var. fastigiata";54;"N";0
