Column1;data_source;identifiant;family;genus;taxaname;plot_name;locality_occ;plot_type;month;year;phenology;dbh;height;wood_density;volumetric_shrinkage;fiber_saturation_point;leaf_area;leaf_sla;leaf_ldmc;leaf_thickness;bark_thickness;longitude;latitude;rq
;nc_pippn;ADM0577;Fabaceae;Acacia;Acacia spirorbis;PMBT177;;circle_R11,28;5;2022;;15,6;;0,95;;;7,3;5,2;467,5;;;164,955566;-21,170355;projet admire pmbt
;nc_pippn;ADM0608;Fabaceae;Acacia;Acacia spirorbis;PMBT177;;circle_R11,28;5;2022;;13,7;;;;;7,6;4,8;467,1;;;164,955566;-21,170355;projet admire pmbt
1139;nc_pippn;FBA00704;Fabaceae;Acacia;Acacia spirorbis;FBA_008_KP;;circle_R11,28;3;2018;;30,9;7,7;0,94;;;13,1;6,6;379,9;;18;164,960663;-21,174366;
1140;nc_pippn;FBA00709;Fabaceae;Acacia;Acacia spirorbis;FBA_008_KP;;circle_R11,28;3;2018;;21,3;4,9;0,99;;;17,1;6,3;385,2;;10;164,960663;-21,174366;
1224;nc_pippn;FBA00981;Fabaceae;Acacia;Acacia spirorbis;FBA_017_KP;;circle_R11,28;3;2018;;41,4;8,2;0,82;;;6,9;7,6;406,1;;24;165,006767;-21,082287;
1330;nc_pippn;FBA03144;Fabaceae;Acacia;Acacia spirorbis;FBA_037_KP;;circle_R11,28;4;2018;;20,1;;0,97;;;;;;;11,5;165,065329;-21,140126;
;occ_gps;TF0053;Rubiaceae;Achilleanthus;Achilleanthus glabrescens;;Ngo;;7;2023;;21;;0,72;;;28,2;6,2;467,1;;;166,71486;-22,300515;
2727;nc_pippn;NC077141;Rubiaceae;Achilleanthus;Achilleanthus ngoyensis;Prokomeo;;plot_100x100;7;2019;;15,5;;0,63;;;;;;;;165,869725;-21,493639;
2740;nc_pippn;NC077353;Rubiaceae;Achilleanthus;Achilleanthus ngoyensis;Prokomeo;;plot_100x100;7;2019;;10,3;;0,75;;;;;;;;165,869725;-21,493639;
2751;nc_pippn;NC077475;Rubiaceae;Achilleanthus;Achilleanthus ngoyensis;Prokomeo;;plot_100x100;7;2019;;11,5;;0,65;;;;;;;;165,869725;-21,493639;
2766;nc_pippn;NC077670;Rubiaceae;Achilleanthus;Achilleanthus ngoyensis;Prokomeo;;plot_100x100;7;2019;Fruits;14,6;;0,7;;;;;;;;165,869725;-21,493639;
2767;nc_pippn;NC077678;Rubiaceae;Achilleanthus;Achilleanthus ngoyensis;Prokomeo;;plot_100x100;7;2019;;10;;0,7;;;;;;;;165,869725;-21,493639;
;nc_pippn;NC081146;Rubiaceae;Achilleanthus;Achilleanthus ngoyensis;Tchingou;;plot_100x100;5;2024;;15,6;;0,74;;;42,7;4,7;440,1;;;164,991107;-20,907696;
;nc_pippn;NC081506;Rubiaceae;Achilleanthus;Achilleanthus ngoyensis;Tchingou;;plot_100x100;5;2024;;11,5;;;;;44,3;5,3;415,3;;;164,991107;-20,907696;
;nc_pippn;NC081526;Rubiaceae;Achilleanthus;Achilleanthus ngoyensis;Tchingou;;plot_100x100;5;2024;Fruits;10,7;;;;;57,2;6,5;399,5;;;164,991107;-20,907696;
;nc_pippn;NC081887;Rubiaceae;Achilleanthus;Achilleanthus ngoyensis;Tchingou;;plot_100x100;5;2024;;11,8;;;;;34,7;5,5;436,3;;;164,991107;-20,907696;
2811;nc_pippn;NC073667;Malpighiaceae;Acridocarpus;Acridocarpus austrocaledonicus;Tiebaghi;;plot_100x100;12;2018;;13,7;;0,84;;;;;;;;164,226003;-20,431312;
1226;nc_pippn;FBA00997;Rutaceae;Acronychia;Acronychia laevis;FBA_017_KP;;circle_R11,28;3;2018;;21,3;3,8;0,7;;;9,9;8,4;426,6;;10;165,006767;-21,082287;
1228;nc_pippn;FBA01009;Rutaceae;Acronychia;Acronychia laevis;FBA_017_KP;;circle_R11,28;3;2018;;20,7;4,5;0,67;;;9,8;9,3;391,1;;4,5;165,006767;-21,082287;
1266;nc_pippn;FBA01257;Rutaceae;Acronychia;Acronychia laevis;FBA_026_KP;;circle_R11,28;3;2018;;18,1;10,5;0,75;;;17,2;10,1;400;;11;164,909174;-21,028206;
1208;nc_pippn;FBA02262;Rutaceae;Acronychia;Acronychia laevis;FBA_015_TC;;circle_R11,28;3;2018;;12,9;;0,63;;;19,4;10;381,9;;;165,310598;-21,018816;
27;nc_pippn;NC061033;Malvaceae;Acropogon;Acropogon aoupiniensis;Aoupinié;;plot_100x100;3;2015;Fleurs;13,7;;0,53;;;;;;;;165,277313;-21,177801;
96;nc_pippn;NC061694;Malvaceae;Acropogon;Acropogon aoupiniensis;Aoupinié;;plot_100x100;3;2015;;26,4;;0,68;;;;;;;;165,277313;-21,177801;
106;nc_pippn;NC061778;Malvaceae;Acropogon;Acropogon aoupiniensis;Aoupinié;;plot_100x100;3;2015;;13,7;;0,58;;;;;;;;165,277313;-21,177801;
137;nc_pippn;NC062036;Malvaceae;Acropogon;Acropogon aoupiniensis;Aoupinié;;plot_100x100;3;2015;;11,5;;0,57;;;;;;;;165,277313;-21,177801;
188;nc_pippn;NC062401;Malvaceae;Acropogon;Acropogon aoupiniensis;Aoupinié;;plot_100x100;3;2015;;12,4;;0,52;;;;;;;;165,277313;-21,177801;
;occ_gps;TF0077;Malvaceae;Acropogon;Acropogon dzumacensis;;Au pied du Mt Pouédihi;;8;2023;Boutons;41,7;;0,45;;;155,9;5,7;443,7;;;166,702337;-22,172828;
;occ_gps;TF0078;Malvaceae;Acropogon;Acropogon dzumacensis;;Au pied du Mt Pouédihi;;8;2023;;23,7;;0,62;;;132,9;4,8;690,5;;;166,701948;-22,172875;
;occ_gps;TF0079;Malvaceae;Acropogon;Acropogon dzumacensis;;Au pied du Mt Pouédihi;;8;2023;Boutons;34,1;;0,61;;;206,2;6,3;434,1;;;166,702353;-22,172971;
;occ_gps;TF0084;Malvaceae;Acropogon;Acropogon dzumacensis;;Au pied du Mt Pouédihi;;8;2023;;27,4;;0,67;;;148,5;4,6;460,3;;;166,698884;-22,172293;
;occ_gps;TF0087;Malvaceae;Acropogon;Acropogon dzumacensis;;Au pied du Mt Pouédihi;;8;2023;;16,6;;0,66;;;146,4;4,7;473,6;;;166,698601;-22,172231;
1319;nc_pippn;FBA03019;Malvaceae;Acropogon;Acropogon jaffrei;FBA_033_KP;;circle_R11,28;4;2018;Fruits;12,1;;0,69;;;568,8;5,9;440,6;;5;164,966209;-21,171516;
